Subject	client	q_experiment	q_knew_chat	q_knew_voting	q_numKnown_subj	q_duty_inform	q_duty_vote	q_exp_gov	q_exp_people	q_people_gov	q_politicalOpinion	q_male	q_age	q_field_of_study	q_nationality	q_siblings	q_siblings_older	q_siblings_younger	q_opinion_others	q_freedecision	q_trust	q_reciprocity	G1	E1	V1	O1	N1	V2	G2	E2	O2	N2	G3	E3	V3	O3	N3
1	EL-05	Das heutige Experiment war an sich sehr gut, allerdings denke ich ,dass man die 2-Minuten-Notizen ab der 10. Runde auf 1 Minute verkürzen sollte.	ja, ich kannte die Chatfunktion schon vorher	ja, ich habe bereits an Experimenten mit geheimen Wahlen teilgenommen	0	10	8	3	5	6	3	weiblich	29	Kunst, LAPS	Deutsch	4	1	3	8	8	6	10	6	6	4	5	6	6	4	6	6	5	6	2	6	6	5
2	EL-06	Interessantes Experiment, allerdings zu langwierig. Zu viele Runden und die Bedenkzeit von 2 Min war viel zu lang. Man braucht die Bedenkzeit eigentlich nur am Anfang in den ersten Runden. 40min Warten ist zu lang.	nein, ich kannte die Chatfunktion noch nicht	ja, ich habe bereits an Experimenten mit geheimen Wahlen teilgenommen	0	8	1	4	4	6	4	weiblich	24	BWL	deutsch	1	1	0	6	7	8	7	6	5	4	3	6	6	5	5	2	6	5	4	7	5	3
3	EL-07	Das Experiment war interessant.	nein, ich kannte die Chatfunktion noch nicht	nein, ich habe bisher noch nie an Experimenten mit geheimen Wahlen teilgenommen	0	9	7	3	5	4	5	weiblich	23	Jura	deutsch	3	2	1	6	7	6	10	5	5	4	4	3	5	3	5	4	3	7	3	5	2	5
4	EL-08	langweilig....2 Monuten zum Überlegen ist zu viel	nein, ich kannte die Chatfunktion noch nicht	nein, ich habe bisher noch nie an Experimenten mit geheimen Wahlen teilgenommen	0	10	10	9	9	3	5	weiblich	23	Betriebswirtschaftslehre	Ukrainisch	0	0	0	9	9	8	10	7	5	2	6	7	4	2	7	2	2	7	5	7	6	6
5	EL-09	Mir hat das Experiment Spaß bereitet. Es war sehr interessant festzustellen, wie sich irgendwann die teilnehmer der verschiednene Gruppen auf Buchstaben festgelegt haben- zumindest schiend as der Fall zu sein. Am Ende verlassen sich wohl doch alle auf sich selbst und wollen nicht die Entscheidung anderen geben. Die blauen hätten meiner meinung nach sich enthalten sollen, damit die weißen für sie entscheiden. Sie wussten am besten bescheid. Jedenfalls dachte ich das.	nein, ich kannte die Chatfunktion noch nicht	nein, ich habe bisher noch nie an Experimenten mit geheimen Wahlen teilgenommen	0	10	5	10	10	10	3	weiblich	26	Illustration	Deutsch	4	0	4	8	10	7	8	7	7	1	6	7	7	1	7	7	7	7	1	7	7	2
6	EL-10	Zu viele Runden!	nein, ich kannte die Chatfunktion noch nicht	ja, ich habe bereits an Experimenten mit geheimen Wahlen teilgenommen	0	9	7	7	4	3	4	männlich	24	MCI	Deutsch	2	1	1	7	8	4	6	6	5	4	5	5	5	4	5	6	4	4	3	6	5	4
7	EL-11	ich fande es einfach als blauer da es nicht so viele optionen gab. Die Notizfunktion fande ich überflüssig bzw. wusste nicht ob ihr das für die auswertung braucht oder es wirklich nur für mich persönlich ist, deshalb habe ich sie kaum genutzt. 	ja, ich kannte die Chatfunktion schon vorher	ja, ich habe bereits an Experimenten mit geheimen Wahlen teilgenommen	0	10	8	8	5	8	1	weiblich	24	Ethnologie	deutsch	1	1	0	10	9	8	8	7	5	1	7	6	6	1	4	7	5	7	5	7	6	5
8	EL-12	"Die sogenannten \""Notiz-Zeiten\"" von 2 Minuten waren definitiv zu lang und nicht wirklich sehr sinnvoll. Irgendwann haben nur noch wenige getippt, das hat man gehört. Eine Minute hätte wirklich ausgereicht."	nein, ich kannte die Chatfunktion noch nicht	ja, ich habe bereits an Experimenten mit geheimen Wahlen teilgenommen	0	8	9	7	1	5	3	weiblich	24	SoWi	DE	1	1	0	7	5	5	5	6	6	6	6	7	6	4	4	5	5	5	4	6	6	4
9	EL-13	Es war an sich einfach zu begriefen, die Wahrscheinlichekit etwas zu gewinnen sehr hoch.	ja, ich kannte die Chatfunktion schon vorher	ja, ich habe bereits an Experimenten mit geheimen Wahlen teilgenommen	0	8	9	4	7	1	6	weiblich	22	Jura	Deutsch	2	0	2	7	8	3	8	6	5	5	5	7	6	2	5	6	6	6	6	6	5	4
10	EL-14	Es ist sehr langsam gewesen, die Zeit für Notizen hat kaum jemand genutzt. 	ja, ich kannte die Chatfunktion schon vorher	ja, ich habe bereits an Experimenten mit geheimen Wahlen teilgenommen	0	8	9	1	1	1	4	weiblich	32	Wirtschaftsmathematik	Deutsch	1	0	1	8	7	3	7	5	3	5	6	7	6	5	2	7	6	5	5	6	7	2
