Subject	client	q_experiment	q_knew_chat	q_knew_voting	q_numKnown_subj	q_duty_inform	q_duty_vote	q_exp_gov	q_exp_people	q_people_gov	q_politicalOpinion	q_male	q_age	q_field_of_study	q_nationality	q_siblings	q_siblings_older	q_siblings_younger	q_opinion_others	q_freedecision	q_trust	q_reciprocity	G1	E1	V1	O1	N1	V2	G2	E2	O2	N2	G3	E3	V3	O3	N3
1	EL-03	"Mega-langweilig! Sorry :( Außerdem finde ich es unfair, wenn am Ende zwischen den Runden ausgelost wird. Ich hatte diesmal Glück und den maximal möglichen Gewinn eingestrichen, aber es wäre auch möglich gewesen, dass bei jemandem (einem Weißen ;) nur solche Runden gewählt werden, in denen er nichts verdient hat. Warum nicht sagen, 1 Punkt = so und so viel Cent und dann alle Runden auszahlen? Das wäre echt fairer!"	ja, ich kannte die Chatfunktion schon vorher	ja, ich habe bereits an Experimenten mit geheimen Wahlen teilgenommen	0	8	8	9	9	5	3	weiblich	25	Physik	deutsch	0	0	0	6	5	6	8	5	3	3	4	4	5	5	4	6	4	3	6	5	4	4
2	EL-04	Die Zeit für die Notizen ist deutlich zulange und wird speziell zum Ende hin sehr langatmig	nein, ich kannte die Chatfunktion noch nicht	ja, ich habe bereits an Experimenten mit geheimen Wahlen teilgenommen	0	8	8	5	3	3	5	männlich	27	BWL	deutsch	2	0	2	6	7	4	6	6	5	5	3	5	4	4	5	2	3	6	4	5	5	5
3	EL-05	Wäre die Alternative der max. Wertschöpfung (A) nicht so ungerecht verteilt gewesen, hätte ich sie vorgezogen. So wählte ich (blau) stets egoistisch (C). 	nein, ich kannte die Chatfunktion noch nicht	ja, ich habe bereits an Experimenten mit geheimen Wahlen teilgenommen	0	9	9	3	6	3	5	männlich	42	Dt. Spr./Lit.	D	2	2	0	6	8	6	6	5	3	4	5	4	3	5	6	7	5	4	4	3	6	2
4	EL-06	nein	ja, ich kannte die Chatfunktion schon vorher	ja, ich habe bereits an Experimenten mit geheimen Wahlen teilgenommen	1	10	1	7	8	2	5	männlich	27	Physik	Deutschland	3	1	2	7	7	7	10	5	6	5	5	4	6	4	6	4	3	6	2	6	6	7
5	EL-07	Sehr interessant	nein, ich kannte die Chatfunktion noch nicht	nein, ich habe bisher noch nie an Experimenten mit geheimen Wahlen teilgenommen	0	10	8	3	3	8	7	weiblich	23	Germanistik	polnisch	1	0	1	6	8	5	8	5	4	2	3	7	7	4	5	6	5	4	2	6	6	2
6	EL-08	Die Zeit, um Notizen zu machen, war zu lang, wenn man sich einmal eine Taktik überlegt hat	ja, ich kannte die Chatfunktion schon vorher	ja, ich habe bereits an Experimenten mit geheimen Wahlen teilgenommen	1	8	9	6	5	3	2	männlich	21	Lehramt	Deutsch	1	1	0	7	4	6	8	5	3	3	6	5	1	5	4	4	3	5	5	4	5	3
7	EL-09	ich fand das sehr gut und auch spannent und, mir hat es gefallen	nein, ich kannte die Chatfunktion noch nicht	ja, ich habe bereits an Experimenten mit geheimen Wahlen teilgenommen	0	7	9	4	5	6	6	männlich	48	kein	deutsch	3	2	1	4	5	6	9	6	6	5	5	4	5	1	4	4	3	6	4	5	7	7
8	EL-10	interessant. die ungleichverteilung zwischen den gruppen in hinblick auf die wahrscheinlichkeit, 0 punkte zu bekommen war gewöhnungsbedürftig. aber sonst okay\r\n	ja, ich kannte die Chatfunktion schon vorher	ja, ich habe bereits an Experimenten mit geheimen Wahlen teilgenommen	0	9	6	5	3	5	4	männlich	31	bwl	deutsch	1	1	0	6	5	4	8	6	6	5	6	4	6	3	6	6	5	6	3	5	4	5
9	EL-11	interessant	nein, ich kannte die Chatfunktion noch nicht	ja, ich habe bereits an Experimenten mit geheimen Wahlen teilgenommen	0	8	9	1	1	6	3	weiblich	24	politikwissenschaft	deutsch	2	1	1	5	6	3	8	5	4	2	5	5	3	3	3	4	3	5	4	6	5	5
10	EL-12	Gutes Experiment. Interessant zu sehen, dass ich offenbar der einzige Teilnehmer war, der sich stets enthalten hat.	nein, ich kannte die Chatfunktion noch nicht	ja, ich habe bereits an Experimenten mit geheimen Wahlen teilgenommen	0	10	8	10	8	9	5	männlich	27	BWL MSc	deutsch	1	1	0	7	9	8	10	6	7	2	4	1	7	3	7	5	3	5	1	7	4	5
