Period	chat	PlayerName	GroupPlay	TimeInfoPayoffStructureChatMessage	Dimension1_C	Dimension2_C	Dimension3_C	Dimension4_C	Dimension5_C	Dimension6_C	Dimension7_C	Dimension8_C	Dimension9_C	Dimension10_C	Dimension1_H	Dimension2_H	Dimension3_H	Dimension4_H	Dimension5_H	Dimension6_H	Dimension7_H	Dimension8_H	Dimension9_H	Dimension10_H	lie_c	lie_h	lie
1	Meins sagt x	Weiﬂ  3	1	113	1	4	1	3	9	4	3	0	4	0	1	4	1	3	9	4	3	0	4	0	0	0	0
1	meins y	Weiﬂ  1	1	106	1	4	1	3	9	4	3	0	4	0	1	4	1	3	9	4	3	0	4	0	0	0	0
1	meins x	Weiﬂ  2	1	97	1	4	1	3	9	4	3	0	4	0	1	4	1	3	9	4	3	0	4	0	0	0	0
1	dann wirds wohl x sein	Weiﬂ  3	1	88	9	4	1	3	9	4	3	0	4	0	7	4	1	3	9	4	3	0	4	0	0	0	0
1	dann nehmen wir a	Weiﬂ  2	1	72	10	1	1	3	3	1	3	0	4	0	10	1	1	3	3	1	3	0	4	0	0	0	0
1	ja	Weiﬂ  1	1	70	10	4	1	3	9	4	3	0	4	0	10	4	1	3	9	4	3	0	4	0	0	0	0
1	jup	Weiﬂ  3	1	68	10	4	1	3	9	4	3	0	4	0	10	4	1	3	9	4	3	0	4	0	0	0	0
1	hab X	Weiﬂ  3	2	105	1	4	1	3	9	4	3	0	4	0	1	4	1	3	9	4	3	0	4	0	0	0	0
1	Ich Y	Weiﬂ  1	2	91	1	4	1	3	9	4	3	0	4	0	1	4	1	3	9	4	3	0	4	0	0	0	0
1	2?	Weiﬂ  1	2	76	10	4	4	3	9	4	3	0	4	0	10	4	4	3	9	4	3	0	4	0	0	0	0
1	Weiﬂ 2 was hast du?	Weiﬂ  1	2	57	8	4	4	3	9	4	3	0	4	0	10	4	4	3	9	4	3	0	4	0	0	0	0
1	x	Weiﬂ  2	2	50	1	4	1	3	9	4	3	0	4	0	1	4	1	3	9	4	3	0	4	0	0	0	0
1	ok, dann wirds wohl X sein	Weiﬂ  1	2	40	8	4	1	3	9	4	3	0	4	0	9	4	1	3	9	4	3	0	4	0	0	0	0
1	Und somit bin ich f¸r A	Weiﬂ  1	2	31	10	1	1	3	3	1	3	0	4	0	10	1	1	3	8	2	3	0	4	0	0	0	0
1	Dito	Weiﬂ  2	2	23	10	1	1	3	3	1	3	0	4	0	10	1	1	3	3	1	3	0	4	0	0	0	0
1	sehr gut	Weiﬂ  3	2	11	10	4	1	3	9	4	3	0	4	0	10	4	1	3	9	4	3	0	4	0	0	0	0
1	A weil max gewinn	Weiﬂ  2	3	108	10	4	1	3	3	1	2	0	4	0	10	1	1	3	3	1	3	0	4	0	0	0	0
1	Situation x	Weiﬂ  3	3	104	1	4	1	3	9	4	3	0	4	0	1	4	1	3	9	4	3	0	4	0	0	0	0
1	Genau	Weiﬂ  3	3	98	10	4	1	3	9	4	3	0	4	0	10	4	1	3	9	4	3	0	4	0	0	0	0
1	A	Weiﬂ  3	3	97	10	1	1	3	3	1	3	0	4	0	10	1	1	3	3	1	3	0	4	0	0	0	0
1	genau so bei mir X	Weiﬂ  1	3	93	1	4	1	3	9	4	3	0	4	0	1	4	1	3	9	4	3	0	4	0	0	0	0
1	l‰ssig	Weiﬂ  2	3	91	10	4	1	3	9	4	3	0	4	0	10	4	1	3	9	4	3	0	4	0	0	0	0
1	A	Weiﬂ  1	3	90	10	1	1	3	3	1	3	0	4	0	10	1	1	3	3	1	3	0	4	0	0	0	0
1	"Computer says: X ;) "	Weiﬂ  1	4	105	1	4	1	3	9	4	3	0	4	0	1	4	1	3	9	4	3	0	4	0	0	0	0
1	y	Weiﬂ  3	4	101	1	4	1	3	9	4	3	0	4	0	1	4	1	3	9	4	3	0	4	0	0	0	0
1	x	Weiﬂ  2	4	97	1	4	1	3	9	4	3	0	4	0	1	4	1	3	9	4	3	0	4	0	0	0	0
1	na dann	Weiﬂ  3	4	93	10	4	1	3	9	4	3	0	4	0	10	4	1	3	9	4	3	0	4	0	0	0	0
1	von x ausgehen 	Weiﬂ  1	4	88	8	4	1	3	9	4	3	0	4	0	10	4	1	3	9	4	3	0	4	0	0	0	0
1	also wohl A	Weiﬂ  1	4	83	10	1	1	3	3	1	3	0	4	0	10	1	1	3	3	1	3	0	4	0	0	0	0
1	genau	Weiﬂ  2	4	80	10	1	1	3	3	1	3	0	4	0	10	4	1	3	9	4	3	0	4	0	0	0	0
1	jo	Weiﬂ  3	4	79	10	1	1	3	3	1	3	0	4	0	10	4	1	3	9	4	3	0	4	0	0	0	0
1	jut	Weiﬂ  1	4	76	10	4	1	3	9	4	3	0	4	0	10	4	1	3	9	4	3	0	4	0	0	0	0
2	x bei mir	Weiﬂ  3	1	115	1	4	1	3	9	4	3	0	4	0	1	4	1	3	9	4	3	0	4	0	0	0	0
2	X	Weiﬂ  1	1	114	1	4	1	3	9	4	3	0	4	0	1	4	1	3	9	4	3	0	4	0	0	0	0
2	computer says: y	Weiﬂ  2	1	113	1	4	1	3	9	4	3	0	4	0	1	4	1	3	9	4	3	0	4	0	0	0	0
2	ok dann einigung auf x	Weiﬂ  2	1	107	8	4	1	3	9	4	3	0	4	0	10	4	1	3	9	4	3	0	4	0	0	0	0
2	jup	Weiﬂ  1	1	101	10	4	1	3	9	4	3	0	4	0	10	4	1	3	9	4	3	0	4	0	0	0	0
2	jo	Weiﬂ  3	1	101	10	4	1	3	9	4	3	0	4	0	10	4	1	3	9	4	3	0	4	0	0	0	0
2	also A	Weiﬂ  2	1	97	10	1	1	3	3	1	3	0	4	0	10	1	1	3	3	1	3	0	4	0	0	0	0
2	genau	Weiﬂ  1	1	87	10	1	1	3	3	1	3	0	4	0	10	4	1	3	9	4	3	0	4	0	0	0	0
2	120 sekunden sind viel zu viel	Weiﬂ  3	1	81	8	4	1	3	9	4	3	0	4	0								1		0	0	0	0
2	absolut	Weiﬂ  2	1	72	8	4	1	3	9	4	3	0	4	0								1		0	0	0	0
2	Das Experiment dauert viel zu lang	Weiﬂ  1	1	67	8	4	1	3	9	4	3	0	4	0								1		0	0	0	0
2	ja, alleine schon 40min chat	Weiﬂ  3	1	46	8	4	1	3	9	4	3	0	4	0								1		0	0	0	0
2	nur eine aufgabe f¸r 2 std	Weiﬂ  2	1	44	8	4	1	3	9	4	3	0	4	0								1		0	0	0	0
2	und 30min instruktionen	Weiﬂ  2	1	23	8	4	1	3	9	4	3	0	4	0								1		0	0	0	0
2	x	Weiﬂ  2	2	116	1	4	1	3	9	4	3	0	4	0	1	4	1	3	9	4	3	0	4	0	0	0	0
2	X	Weiﬂ  1	2	115	1	4	1	3	9	4	3	0	4	0	1	4	1	3	9	4	3	0	4	0	0	0	0
2	Situation y	Weiﬂ  3	2	113	1	4	1	3	9	4	3	0	4	0	1	4	1	3	9	4	3	0	4	0	0	0	0
2	dann wieder a	Weiﬂ  2	2	104	10	1	1	3	3	1	3	0	4	0	10	1	1	3	3	1	3	0	4	0	0	0	0
2	ok dann A	Weiﬂ  3	2	102	10	1	1	3	3	1	3	0	4	0	10	1	1	3	3	1	3	0	4	0	0	0	0
2	Ja, wieder A	Weiﬂ  1	2	93	10	1	1	3	3	1	3	0	4	0	10	1	1	3	3	1	3	0	4	0	0	0	0
2	x	Weiﬂ  2	3	118	1	4	1	3	9	4	3	0	4	0	1	4	1	3	9	4	3	0	4	0	0	0	0
2	y	Weiﬂ  3	3	118	1	4	1	3	9	4	3	0	4	0	1	4	1	3	9	4	3	0	4	0	0	0	0
2	Habe Y	Weiﬂ  1	3	115	1	4	1	3	9	4	3	0	4	0	1	4	1	3	9	4	3	0	4	0	0	0	0
2	ist dann y wahrscheinlicher?	Weiﬂ  3	3	104	10	4	1	3	9	4	3	0	4	0	8	4	1	3	9	4	3	0	4	0	0	0	0
2	a ist die sicherere variante	Weiﬂ  2	3	97	10	1	1	3	3	1	3	0	4	0	10	1	1	3	3	1	3	0	4	0	0	0	0
2	dann wirds vermutlich Y sein und ich schlage B vor	Weiﬂ  1	3	95	9	2	1	3	4	2	3	0	4	0	10	2	1	3	8	2	3	0	4	0	0	0	0
2	a ist halt nicht so fair aber frage ist wie blau das machen w¸rde	Weiﬂ  3	3	69	3	4	1	3	9	4	1	0	3	0	10	1	1	3	3	1	3	0	3	0	0	0	0
2	wird wohl Y sein, ja und mit B haben alle was davon	Weiﬂ  1	3	65	3	2	1	3	4	2	2	0	4	0	3	2	1	3	8	2	2	0	4	0	0	0	0
2	ausﬂer bei x	Weiﬂ  3	3	56	8	4	1	3	9	4	3	0	4	0	10	4	1	3	9	4	3	0	4	0	0	0	0
2	Das wissen wir ja nicht :)	Weiﬂ  1	3	55	10	4	1	3	9	4	3	0	4	0	10	4	1	3	9	4	3	0	4	0	0	0	0
2	dann b	Weiﬂ  3	3	45	10	2	1	3	4	1	3	0	4	0	10	2	1	3	4	1	3	0	4	0	0	0	0
2	ok?	Weiﬂ  1	3	33	10	4	1	3	9	4	3	0	4	0	10	4	1	3	9	4	3	0	4	0	0	0	0
2	ok	Weiﬂ  2	3	18	10	4	1	3	9	4	3	0	4	0	10	4	1	3	9	4	3	0	4	0	0	0	0
2	yes	Weiﬂ  3	3	15	10	4	1	3	9	4	3	0	4	0	10	4	1	3	9	4	3	0	4	0	0	0	0
2	blau sagt mal was :P	Weiﬂ  1	3	7	10	4	3	3	9	4	3	0	4	0	10	4	2	3	9	4	3	0	3	0	0	0	0
2	meins sagt x	Weiﬂ  1	4	116	1	4	1	3	9	4	3	0	4	0	1	4	1	3	9	4	3	0	4	0	0	0	0
2	x	Weiﬂ  2	4	115	1	4	1	3	9	4	3	0	4	0	1	4	1	3	9	4	3	0	4	0	0	0	0
2	y	Weiﬂ  3	4	114	1	4	1	3	9	4	3	0	4	0	1	4	1	3	9	4	3	0	4	0	0	0	0
2	dann wohl x	Weiﬂ  2	4	107	9	4	1	3	9	4	3	0	4	0	10	4	1	3	9	4	3	0	4	0	0	0	0
2		Weiﬂ  2	4	107								1										1		0	0	0	0
2	also A	Weiﬂ  2	4	97	10	1	1	3	3	1	3	0	4	0	10	1	1	3	3	1	3	0	4	0	0	0	0
2	jup	Weiﬂ  1	4	93	10	1	1	3	3	1	3	0	4	0	10	4	1	3	9	4	3	0	4	0	0	0	0
2	Ja	Weiﬂ  3	4	92	10	1	1	3	3	1	3	0	4	0	10	4	1	3	9	4	3	0	4	0	0	0	0
3	y	Weiﬂ  3	1	119	1	4	1	3	9	4	3	0	4	0	1	4	1	3	9	4	3	0	4	0	0	0	0
3	x	Weiﬂ  2	1	118	1	4	1	3	9	4	3	0	4	0	1	4	1	3	9	4	3	0	4	0	0	0	0
3	y	Weiﬂ  1	1	117	1	4	1	3	9	4	3	0	4	0	1	4	1	3	9	4	3	0	4	0	0	0	0
3	dann b	Weiﬂ  3	1	106	10	2	1	3	4	1	3	0	4	0	10	2	1	3	4	1	3	0	4	0	0	0	0
3	dann von Y ausgehen und B nehmen ja	Weiﬂ  1	1	96	10	2	1	3	4	2	3	0	4	0	10	2	1	3	8	2	3	0	4	0	0	0	0
