Subject	client	q_experiment	q_knew_chat	q_knew_voting	q_numKnown_subj	q_duty_inform	q_duty_vote	q_exp_gov	q_exp_people	q_people_gov	q_politicalOpinion	q_male	q_age	q_field_of_study	q_nationality	q_siblings	q_siblings_older	q_siblings_younger	q_opinion_others	q_freedecision	q_trust	q_reciprocity	G1	E1	V1	O1	N1	V2	G2	E2	O2	N2	G3	E3	V3	O3	N3
1	EL-04	Nein	nein, ich kannte die Chatfunktion noch nicht	ja, ich habe bereits an Experimenten mit geheimen Wahlen teilgenommen	0	8	8	4	2	3	4	männlich	24	Wirtschaftsinformatik	Deutsch	3	1	2	6	8	3	9	6	5	2	4	7	6	3	6	4	5	6	5	7	5	4
2	EL-05	DAS experiment war zwar interessant, jedoch sehr langwierig. 	nein, ich kannte die Chatfunktion noch nicht	nein, ich habe bisher noch nie an Experimenten mit geheimen Wahlen teilgenommen	3	9	9	4	9	4	5	weiblich	23	Psychologie	deutsch	4	2	2	8	9	4	7	7	4	2	3	6	4	2	3	5	5	7	6	6	5	4
3	EL-06	ich fand es schlecht. Es war das mit abstand langweiligste und unausgeglichendste Experiment, an dem ich teilgenommen habe. Von der Chancenverteilung her denke ich, dass Gruppe Weiß benachteiligt ist - was sich auch in den Auszahlungen zeigt. Naja, hab ich halt pech gehabt... 	nein, ich kannte die Chatfunktion noch nicht	ja, ich habe bereits an Experimenten mit geheimen Wahlen teilgenommen	0	7	5	6	5	3	5	männlich	29	Soziologie	deutsch	1	1	0	6	8	5	8	6	6	6	4	5	6	5	5	2	2	6	2	5	6	5
4	EL-07	die 2 minuten jedes mal zu überlegen waren meiner meinung nach völlig unnötig	ja, ich kannte die Chatfunktion schon vorher	ja, ich habe bereits an Experimenten mit geheimen Wahlen teilgenommen	0	9	3	6	2	9	8	männlich	29	bwl	deutsch	2		2	7	3	5	10	6	4	6	6	6	3	2	4	6	6	6	6	6	6	2
5	EL-08	Die zwei Minuten Bedenkzeit für Notizen (Chat?) erscheinen wenig notwendig und verlängern das Experiment m.E. unnötig.	ja, ich kannte die Chatfunktion schon vorher	ja, ich habe bereits an Experimenten mit geheimen Wahlen teilgenommen	0	8	8	5	5	1	7	männlich	31	Rechtswissenschaft (Promotion)	Deutsch	1	1	0	5	7	5	10	7	7	1	7	1	7	7	7	4	1	7	4	7	7	6
6	EL-09	26Euro sind wunderbar. Ich war teils frustriert, weil ich oft 0 Punkte hatte. Aber weniger aggressiv, weil die anderen heute nicht so lange für alles gebraucht haben. Oft sind bei den Experimenten meine Nerven sehr, sehr strapaziert, weil einige lange brauchen.	ja, ich kannte die Chatfunktion schon vorher	ja, ich habe bereits an Experimenten mit geheimen Wahlen teilgenommen	1	7	7	6	10	2	5	weiblich	30	Soziologie	deutsch	2	2	0	8	5	5	10	1	7	4	6	6	7	7	7	7	4	2	2	4	7	3
7	EL-10	ganz interessant, aber die 2 Minuten Zeit zum Überlegen sind insbesondere bei den letzten 10 Trials viel zu lang	nein, ich kannte die Chatfunktion noch nicht	ja, ich habe bereits an Experimenten mit geheimen Wahlen teilgenommen	0	10	10	5	3	4	3	weiblich	22	Psychologie	deutsch	1	1	0	2	8	5	7	5	7	5	6	5	6	2	7	7	5	6	2	7	7	5
8	EL-11	Die zwei Minuten waren zu lang 	nein, ich kannte die Chatfunktion noch nicht	nein, ich habe bisher noch nie an Experimenten mit geheimen Wahlen teilgenommen	3	8	9	4	4	4	3	weiblich	26	Sozialökonomie/VWL	Deutsch	0	0	0	8	9	3	10	6	7	5	6	7	5	2	7	7	5	7	1	7	7	5
9	EL-12	langweilig\r\n	nein, ich kannte die Chatfunktion noch nicht	ja, ich habe bereits an Experimenten mit geheimen Wahlen teilgenommen	3	9	9	3	1	6	4	weiblich	24	Master AWG	deutsch	1	1	0	5	8	8	7	4	7	6	7	3	3	4	7	5	3	4	3	4	6	2
10	EL-13	Nein	ja, ich kannte die Chatfunktion schon vorher	ja, ich habe bereits an Experimenten mit geheimen Wahlen teilgenommen	4	10	10	8	8	2	5	männlich	27	Politikwissenschaften	deutsch	0	0	0	6	8	6	10	2	6	1	6	4	7	7	5	4	3	2	4	7	7	5
