Period	chat	PlayerName	GroupPlay	TimeInfoPayoffStructureChatMessage	Dimension1_C	Dimension2_C	Dimension3_C	Dimension4_C	Dimension5_C	Dimension6_C	Dimension7_C	Dimension8_C	Dimension1_H	Dimension2_H	Dimension3_H	Dimension4_H	Dimension5_H	Dimension6_H	Dimension7_H	Dimension8_H	lie_c	lie_h	lie
1	y bei mir	Weiﬂ  3	1	116	1	4	1	3	9	4	3		1	4	1	3	9	4	3		0	0	0
1	x	Weiﬂ  2	1	113	1	4	1	3	9	4	3		1	4	1	3	9	4	3		0	0	0
1	y	Weiﬂ  1	1	106	1	4	1	3	9	4	3		1	4	1	3	9	4	3		0	0	0
1	egal	Blau  2	1	89	10	4	1	3	9	4	3		10	4	1	2	9	4	3		0	0	0
1	dann b nehmen?	Blau  3	1	88	10	2	1	3	4	1	3		10	2	1	3	4	1	3		0	0	0
1	also b	Weiﬂ  2	1	85	10	2	1	3	4	1	3		10	2	1	3	4	1	3		0	0	0
1	spricht f¸r b	Weiﬂ  3	1	81	10	2	1	3	4	1	3		10	2	1	3	4	1	3		0	0	0
1	b	Blau  1	1	78	10	2	1	3	4	1	3		10	2	1	3	4	1	3		0	0	0
1	OK	Blau  2	1	77	10	4	1	3	9	4	3		10	4	1	3	9	4	3		0	0	0
1	team <3	Weiﬂ  3	1	62	10	4	1	3	9	4	3		10	4	1	3	9	4	3		0	0	0
1	:)	Blau  3	1	58	10	4	1	3	9	4	3		10	4	1	3	9	4	3		0	0	0
1	MIR WURDE GESAGT DASS es situation x wird	Weiﬂ  2	2	107	1	4	1	3	9	4	3		1	4	1	3	9	4	3		0	0	0
1	welche Infos habt ihr weiﬂen erhalten?	Blau  1	2	106	10	4	3	3	9	4	3		10	4	3	3	9	4	3		0	0	0
1	Situation x 	Weiﬂ  1	2	103	1	4	1	3	9	4	3		1	4	1	3	9	4	3		0	0	0
1	Lt meiner Info wird X rintreten	Weiﬂ  3	2	103	1	4	1	3	9	4	3		1	4	1	3	9	4	3		0	0	0
1	Also A	Weiﬂ  3	2	99	10	1	1	3	3	1	3		10	1	1	3	3	1	3		0	0	0
1	ja	Weiﬂ  1	2	97	10	4	1	3	9	4	3		10	4	1	3	9	4	3		0	0	0
