Subject	client	q_experiment	q_knew_chat	q_knew_voting	q_numKnown_subj	q_duty_inform	q_duty_vote	q_exp_gov	q_exp_people	q_people_gov	q_politicalOpinion	q_male	q_age	q_field_of_study	q_nationality	q_siblings	q_siblings_older	q_siblings_younger	q_opinion_others	q_freedecision	q_trust	q_reciprocity	G1	E1	V1	O1	N1	V2	G2	E2	O2	N2	G3	E3	V3	O3	N3
1	EL-04	20 Runden fande ich etwas zu viel	nein, ich kannte die Chatfunktion noch nicht	ja, ich habe bereits an Experimenten mit geheimen Wahlen teilgenommen	0	9	8	6	5	5	5	weiblich	20	BWL	deutsch	1	1	0	9	8	6	10	7	5	2	5	7	6	2	3	5	6	6	2	7	5	2
2	EL-05	Interessant 	nein, ich kannte die Chatfunktion noch nicht	nein, ich habe bisher noch nie an Experimenten mit geheimen Wahlen teilgenommen	0	10	10	8	3	10	4	männlich	23	BWL	Österreich 	3	3	0	2	5	7	7	5	7	7	4	5	3	4	7	5	5	5	2	4	7	4
3	EL-06	 	nein, ich kannte die Chatfunktion noch nicht	nein, ich habe bisher noch nie an Experimenten mit geheimen Wahlen teilgenommen	0	6	8	3	2	4	4	männlich	28	Sozialökonomie	Deutsch	1	0	1	9	8	8	9	6	6	5	6	6	5	2	6	6	4	6	3	6	6	5
4	EL-07	Der Chat war für die letzten Runden etwas zu lange offen. Da hätte es vll aich eine Minute getan. Am Anfang ist es aber mit den 2 Minuten definitv sinnvoll.	nein, ich kannte die Chatfunktion noch nicht	ja, ich habe bereits an Experimenten mit geheimen Wahlen teilgenommen	3	9	1	4	3	8	7	männlich	24	Wirtschaftsmathematik	deutsch	2	2	0	7	8	6	9	6	3	1	2	5	7	6	3	7	5	3	6	7	2	6
5	EL-08	es ist sehr unfair, dass bei 90% aller Gleichstände zwischen weiß und blau, blau gewinnt.\r\ndas chatten ist mal was anderes und sehr gut.	nein, ich kannte die Chatfunktion noch nicht	ja, ich habe bereits an Experimenten mit geheimen Wahlen teilgenommen	1	8	5	5	3	3	4	männlich	19	BWL	deustch 	1	0	1	4	6	3	9	7	7	1	3	3	6	4	6	4	5	6	2	7	5	5
6	EL-09	gut	nein, ich kannte die Chatfunktion noch nicht	nein, ich habe bisher noch nie an Experimenten mit geheimen Wahlen teilgenommen	2	5	3	5	4	6	6	weiblich	27	Spanisch	Peru	7	3	4	6	5	5	6	4	7	5	6	3	7	7	6	7	7	7	4	6	4	1
7	EL-10	es hinterlässt schlechte gefühle, da so stark vom glück abhängig war	nein, ich kannte die Chatfunktion noch nicht	ja, ich habe bereits an Experimenten mit geheimen Wahlen teilgenommen	0	8	10	5	10	5	6	männlich	22	BWL	deutsch	1	0	1	10	10	7	10	7	6	1	6	7	7	1	5	6	6	6	6	7	6	5
8	EL-11	Die Chatzeit war zu lang	nein, ich kannte die Chatfunktion noch nicht	ja, ich habe bereits an Experimenten mit geheimen Wahlen teilgenommen	0	10	10	7	4	4	4	weiblich	26	Politics, Economics, Philosophy	Deutsch	1	0	1	8	7	7	9	7	6	2	5	5	6	3	6	2	5	6	5	7	6	6
9	EL-12	ich als eine weiße versucht immer den  armen blauen überzeugen, für was für uns besser ist, zu entscheiden. daher sehe ich nicht so fair an, dass die Blauen nicht selbst mitreden konnten.	nein, ich kannte die Chatfunktion noch nicht	nein, ich habe bisher noch nie an Experimenten mit geheimen Wahlen teilgenommen	0	2	4	5	5	9	8	männlich	23	Jura	nicht EU	2	2	0	6	9	3	4	4	7	6	3	6	1	2	6	7	6	5	3	5	3	4
10	EL-13	Neue Erfahrung für mich und recht interessant	nein, ich kannte die Chatfunktion noch nicht	nein, ich habe bisher noch nie an Experimenten mit geheimen Wahlen teilgenommen	0	9	10	8	4	5	4	weiblich	25	Medienwissenschaft	Deutsch	0	0	0	4	8	7	9	6	6	2	4	5	6	5	5	7	6	6	5	6	6	6
