Subject	client	q_experiment	q_knew_chat	q_knew_voting	q_numKnown_subj	q_duty_inform	q_duty_vote	q_exp_gov	q_exp_people	q_people_gov	q_politicalOpinion	q_male	q_age	q_field_of_study	q_nationality	q_siblings	q_siblings_older	q_siblings_younger	q_opinion_others	q_freedecision	q_trust	q_reciprocity	G1	E1	V1	O1	N1	V2	G2	E2	O2	N2	G3	E3	V3	O3	N3
1	EL-04	Spannend 	ja, ich kannte die Chatfunktion schon vorher	nein, ich habe bisher noch nie an Experimenten mit geheimen Wahlen teilgenommen	0	3	2	3	2	4	5	weiblich	23	Wirtschaftsinformatik	Deutsch	1	0	1	7	9	8	8	3	5	5	4	4	6	3	7	3	5	4	1	4	4	2
2	EL-05	Sehr spannend, da man Chatten konnte. Habe ich bisher noch nicht gehabt. 	nein, ich kannte die Chatfunktion noch nicht	ja, ich habe bereits an Experimenten mit geheimen Wahlen teilgenommen	0	9	4	5	4	7	4	weiblich	22	BWL	Deutsch	2	0	2	9	6	5	5	5	5	6	4	7	5	5	5	4	6	6	4	5	5	4
3	EL-06	w	nein, ich kannte die Chatfunktion noch nicht	nein, ich habe bisher noch nie an Experimenten mit geheimen Wahlen teilgenommen	1	10	7	2	3	5	3	männlich	25	BWL	deutsch	1	1	0	6	7	8	10	3	6	5	6	3	5	7	7	6	2	7	2	6	5	5
4	EL-07	Insgesamt war das Experiment interessant.    Die Wartezeiten könnten verkürzt werden	nein, ich kannte die Chatfunktion noch nicht	nein, ich habe bisher noch nie an Experimenten mit geheimen Wahlen teilgenommen	0	6	5	5	4	7	5	männlich	19	BWL	Deutsch	1	1		4	6	6	7	6	5	3	5	5	6	5	3	4	6	3	5	6	2	3
5	EL-08	war sehr spaßig	nein, ich kannte die Chatfunktion noch nicht	nein, ich habe bisher noch nie an Experimenten mit geheimen Wahlen teilgenommen	1	1	7	2	1	8	5	weiblich	23	Sozialökonomie	deutsch	2	0	2	5	7	5	5	4	4	5	2	4	7	2	7	2	4	5	4	6	5	4
6	EL-09	hahaha, man konnte sich gut einfühlen in personen, die öffentliche statements abgeben müssen, wo keine vertrauensvolle beziehung herrscht. Politiker und die bevölkerung oder Manager und evtl ihre shareholder etc.	ja, ich kannte die Chatfunktion schon vorher	nein, ich habe bisher noch nie an Experimenten mit geheimen Wahlen teilgenommen	0	5	6	8	8	3	4	männlich	27	International Management	Deutsch	2	2	0	6	9	6	5	4	6	1	3	1	5	4	7	4	4	4	3	6	2	5
7	EL-10	Es war etwas eintönig für die blaue Gruppe. 10 runden hätten es vermutlich auch getan.	nein, ich kannte die Chatfunktion noch nicht	ja, ich habe bereits an Experimenten mit geheimen Wahlen teilgenommen	1	9	9	2	2	9	6	männlich	28	BWL	Deutsch	2	1	1	7	5	1	6	6	6	4	4	5	5	2	6	2	4	6	2	6	4	5
8	EL-11	Als Blauer war es sehr frustrierend, da die Passivität von Runde zu Runde deutlich spürbarer wurde. 	nein, ich kannte die Chatfunktion noch nicht	ja, ich habe bereits an Experimenten mit geheimen Wahlen teilgenommen	0	8	3	2	2	8	3	weiblich	27	Stadtplanung	Deutsch	2	1	1	6	8	7	10	6	6	1	6	5	5	2	6	6	5	4	4	6	5	5
9	EL-12	"Experimente sind manchmal schon etwas frustrierend ;-)"	nein, ich kannte die Chatfunktion noch nicht	ja, ich habe bereits an Experimenten mit geheimen Wahlen teilgenommen	0	9	7	3	2	5	5	weiblich	31	Wirtschaftsinformatik	deutsch	2	0	2	9	7	9	10	6	5	2	5	7	6	5	4	5	5	4	5	6	6	2
10	EL-13	Sehr spannend	nein, ich kannte die Chatfunktion noch nicht	ja, ich habe bereits an Experimenten mit geheimen Wahlen teilgenommen	0	10	9	7	2	8	4	männlich	24	Volkswirtschaftslehre	deutsch	1	0	1	7	7	7	9	7	3	2	6	6	3	2	3	6	3	7	6	7	6	2
11	EL-14	teilweise echt fies was die anderen Gruppenmitglieder geschrieben haben. (da sagt einer die Wahrheit und wird beleidigt) :/	nein, ich kannte die Chatfunktion noch nicht	nein, ich habe bisher noch nie an Experimenten mit geheimen Wahlen teilgenommen	0	4	1	3	1	5	5	weiblich	25	Erziehungs- und Bildungswissenschaften	deutsch	1	1	0	6	3	7	10	5	5	2	2	3	7	3	5	5	3	5	5	7	6	5
