Subject	client	q_experiment	q_knew_chat	q_knew_voting	q_numKnown_subj	q_duty_inform	q_duty_vote	q_exp_gov	q_exp_people	q_people_gov	q_politicalOpinion	q_male	q_age	q_field_of_study	q_nationality	q_siblings	q_siblings_older	q_siblings_younger	q_opinion_others	q_freedecision	q_trust	q_reciprocity	G1	E1	V1	O1	N1	V2	G2	E2	O2	N2	G3	E3	V3	O3	N3
1	EL-04	Hat Spaß gemacht, vor allem weil man ausnahmsweise mla kommunizieren konnte	nein, ich kannte die Chatfunktion noch nicht	ja, ich habe bereits an Experimenten mit geheimen Wahlen teilgenommen	0	10	10	8	7	4	4	männlich	23	Soziologie	Deutsch	3	3	0	5	8	6	10	6	6	5	5	3	5	5	7	6	3	5	4	5	6	6
2	EL-05	War mit weiß in ner guten Pos., A wohl etwas benachteiligt..im Grunde ganz schön mit der Interaktion, aber letztlich doch recht viel Zufall dabei	ja, ich kannte die Chatfunktion schon vorher	ja, ich habe bereits an Experimenten mit geheimen Wahlen teilgenommen	0	10	10	4	3	8	3	männlich	30	Geographie	deutsch	2	1	1	6	7	7	9	7	5	5	4	4	5	5	4	4	3	4	4	7	7	4
3	EL-06	Etwas langweilig	nein, ich kannte die Chatfunktion noch nicht	ja, ich habe bereits an Experimenten mit geheimen Wahlen teilgenommen	0	9	7	8	3	10	8	weiblich	27	BWL	Deutsch	1	1	0	4	8	3	6	6	4	5	6	3	7	2	5	5	3	5	4	7	6	5
4	EL-07	Sehr interessant, finde die 2min bisschen zu lang. Ansonsten ist es schön sich mal mit den anderen TeilnehmerInnen auszutauschen. 	ja, ich kannte die Chatfunktion schon vorher	ja, ich habe bereits an Experimenten mit geheimen Wahlen teilgenommen	1	7	10	6	1	1	5	weiblich	19	Rechtswissenschaften	deutsch/türkisch 	2	2	0	8	6	3	9	7	6	2	6	7	5	2	5	5	2	6	1	6	7	5
5	EL-08	Ich fand es sehr unterhaltsam und würde mich freuen, wenn weiterer Experimente so kommunikativ wären.	nein, ich kannte die Chatfunktion noch nicht	nein, ich habe bisher noch nie an Experimenten mit geheimen Wahlen teilgenommen	0	10	10	1	1	1	5	weiblich	23	Jura	deutsch	2	2	0	1	9	5	5	7	5	7	6	7	7	2	3	7	7	7	6	5	7	5
6	EL-09	ich fand es sehr spannend. Vor allem weil man mit jeder weiteren Runde eine bessere Tacktig entwickelt hat.	nein, ich kannte die Chatfunktion noch nicht	nein, ich habe bisher noch nie an Experimenten mit geheimen Wahlen teilgenommen	1	8	5	4	3	8	5	weiblich	20	Betriebswirtschaftslehre	Deutsch	1	0	1	8	10	7	10	7	7	4	7	7	7	1	7	5	5	7	1	7	5	5
7	EL-10	Die Chat-Zeiten waren etwas zu lang	ja, ich kannte die Chatfunktion schon vorher	ja, ich habe bereits an Experimenten mit geheimen Wahlen teilgenommen	0	9	7	6	4	7	3	weiblich	25	Internationale Kriminologie	deutsch	1	1	0	7	7	8	8	5	4	2	3	5	7	5	5	5	5	5	6	6	5	5
8	EL-11	Cooles Experiment, aber als blau mit 13,33€ Auszahlung ganz schön wenig Entlohnung	nein, ich kannte die Chatfunktion noch nicht	ja, ich habe bereits an Experimenten mit geheimen Wahlen teilgenommen	0	7	10	7	7	9	5	weiblich	28	BWL	deutsch	2	0	2	6	7	7	7	4	6	2	2	4	2	6	6	2	4	6	4	7	7	6
9	EL-12	ich fand es interessant, dass man mit den anderen Teilnehmern über den Chat kommunizieren konnte und so die Einstellungen und Gründe zu Entscheidungen besser nachvollziehen konnte	nein, ich kannte die Chatfunktion noch nicht	ja, ich habe bereits an Experimenten mit geheimen Wahlen teilgenommen	1	10	6	3	3	9	3	weiblich	27	Berufsschullehramt 	deutsch	1	0	1	10	7	8	10	6	6	1	5	6	6	2	5	5	7	6	6	7	6	6
10	EL-13	spannend	ja, ich kannte die Chatfunktion schon vorher	ja, ich habe bereits an Experimenten mit geheimen Wahlen teilgenommen	0	10	4	7	5	5	4	männlich	24	Nanowissenschaften	Russland	0	0	0	5	7	9	10	5	3	2	4	4	6	6	4	7	4	3	6	4	6	4
