Subject	client	q_experiment	q_knew_chat	q_knew_voting	q_numKnown_subj	q_duty_inform	q_duty_vote	q_exp_gov	q_exp_people	q_people_gov	q_politicalOpinion	q_male	q_age	q_field_of_study	q_nationality	q_siblings	q_siblings_older	q_siblings_younger	q_opinion_others	q_freedecision	q_trust	q_reciprocity	G1	E1	V1	O1	N1	V2	G2	E2	O2	N2	G3	E3	V3	O3	N3
1	EL-05	Sehr viel vom Zufall anhängig. Fast sogar zu viel...	ja, ich kannte die Chatfunktion schon vorher	ja, ich habe bereits an Experimenten mit geheimen Wahlen teilgenommen	0	8	10	2	1	7	4	männlich	24	Logistik, Infrastruktur und Mobilität	Schwedisch	1	1	0	4	8	5	5	6	5	5	4	2	3	5	5	5	4	6	5	5	4	4
2	EL-06	war ne ethische herausforderung für blau. hatte teilweise  schuldgefühle 	nein, ich kannte die Chatfunktion noch nicht	ja, ich habe bereits an Experimenten mit geheimen Wahlen teilgenommen	0	8	3	6	8	6	3	männlich	23	Lehramt	deutsch	2	1	1	7	4	4	7	3	5	4	5	6	6	5	5	7	6	5	5	6	7	4
3	EL-07	Ganz gut, nur irgendwann haben scheinabr alle gelogen oder nicht mehr zusammengearbeite, schade	ja, ich kannte die Chatfunktion schon vorher	ja, ich habe bereits an Experimenten mit geheimen Wahlen teilgenommen	0	10	10	10	8	8	6	weiblich	26	Sozialökonomie (WAR)	deutsch	1	1	0	7	8	8	9	7	7	5	6	6	5	3	6	5	1	7	3	7	7	6
4	EL-08	Interessant und teilweise auch unterhaltsam	nein, ich kannte die Chatfunktion noch nicht	nein, ich habe bisher noch nie an Experimenten mit geheimen Wahlen teilgenommen	0	9	8	5	4	7	3	männlich	28	Soziologie	deutsch	3	1	2	6	5	2	4	3	3	5	5	6	5	7	5	1	6	6	6	2	6	7
5	EL-09	schrecklich. Ein einziger heuchlerischer Kampf zwischen Gruppe weiß und blau. 	ja, ich kannte die Chatfunktion schon vorher	nein, ich habe bisher noch nie an Experimenten mit geheimen Wahlen teilgenommen	0	7	8	2	4	5	3	männlich	27	Geographie	Deutsch	2	0	2	7	7	6	7	4	4	3	4	2	5	6	6	5	2	5	5	5	5	4
6	EL-10	Durch die Chatfunktion war es sehr unterhaltsam und eines der spannendsten Experimente, an dem ich teilgenommen habe	ja, ich kannte die Chatfunktion schon vorher	ja, ich habe bereits an Experimenten mit geheimen Wahlen teilgenommen	0	9	8	7	3	5	3	weiblich	23	VWL	deutsch	3	2	1	8	6	7	9	6	3	2	5	7	7	2	5	5	6	5	3	7	6	3
7	EL-11	Angenehmer als sonst	nein, ich kannte die Chatfunktion noch nicht	ja, ich habe bereits an Experimenten mit geheimen Wahlen teilgenommen	0	7	7	4	3	1	7	männlich	26	BWL	deutsch	2	0	2	3	4	3	7	4	5	5	3	4	5	6	5	3	4	4	4	3	6	3
8	EL-12	lustig	ja, ich kannte die Chatfunktion schon vorher	ja, ich habe bereits an Experimenten mit geheimen Wahlen teilgenommen	0	1	1	1	1	1	5	weiblich	35	bwl	deutsch	0	0	0	5	9	10	10	6	6	2	4	6	6	4	4	5	2	6	6	6	6	5
9	EL-13	Recht kurzweilig. Jedoch haben diverse Teilnehmer den Chat nicht ernstgenommen und sich über Belanglosigkeiten ausgetauscht.	nein, ich kannte die Chatfunktion noch nicht	ja, ich habe bereits an Experimenten mit geheimen Wahlen teilgenommen	0	9	9	2	1	10	9	männlich	22	BWL	deutsch	1	0	1	5	7	4	9	7	4	1	4	7	7	4	4	1	4	7	4	7	4	4
10	EL-14	sehr lustig!	nein, ich kannte die Chatfunktion noch nicht	nein, ich habe bisher noch nie an Experimenten mit geheimen Wahlen teilgenommen	0	8	1	8	8	3	9	männlich	20	Sozialökonomie	Rußland	2	2	0	4	5	5	5	5	7	3	4	3	3	2	4	5	4	4	4	6	3	2
