Subject	client	q_experiment	q_knew_chat	q_knew_voting	q_numKnown_subj	q_duty_inform	q_duty_vote	q_exp_gov	q_exp_people	q_people_gov	q_politicalOpinion	q_male	q_age	q_field_of_study	q_nationality	q_siblings	q_siblings_older	q_siblings_younger	q_opinion_others	q_freedecision	q_trust	q_reciprocity	G1	E1	V1	O1	N1	V2	G2	E2	O2	N2	G3	E3	V3	O3	N3
1	EL-04	Spannend. Die Aussagen des PC's waren leider nicht immer zuverlässig, wie eingangs ja schon angekündigt wurde und dies hat die Stimmung in den Gruppen gedrückt.	nein, ich kannte die Chatfunktion noch nicht	nein, ich habe bisher noch nie an Experimenten mit geheimen Wahlen teilgenommen	1	2	3	5	6	4	3	weiblich	25	Slavistik	bosnisch	4	4	0	5	8	3	7	6	6	3	5	6	6	2	6	3	3	6	5	6	5	5
2	EL-05	Ich fand das Experiment interessant! Ich fand  es auch gut, dass jeder am Ende ca. gleich viel verdienen konnte.	ja, ich kannte die Chatfunktion schon vorher	ja, ich habe bereits an Experimenten mit geheimen Wahlen teilgenommen	0	10	10	4	9	2	5	weiblich	27	BWL	deutsch	1	1	0	8	10	8	10	7	7	1	5	5	3	2	7	7	5	7	4	7	5	5
3	EL-06	x	ja, ich kannte die Chatfunktion schon vorher	ja, ich habe bereits an Experimenten mit geheimen Wahlen teilgenommen	0	9	10	7	4	9	2	weiblich	24	Medienwissenschaft	deutsch	1	0	1	8	7	5	6	7	6	5	6	6	4	1	5	7	3	6	4	5	7	4
4	EL-07	Ich fand die Mehrzahl der Teilnehmer sehr fair.	ja, ich kannte die Chatfunktion schon vorher	ja, ich habe bereits an Experimenten mit geheimen Wahlen teilgenommen	1	10	3	7	1	8	3	weiblich	25	Slavistik	deutsch	3	3	0	8	9	2	9	6	4	2	4	6	6	4	5	3	6	6	5	5	4	2
5	EL-08	Das Experiment war gut.	nein, ich kannte die Chatfunktion noch nicht	ja, ich habe bereits an Experimenten mit geheimen Wahlen teilgenommen	0	10	9	5	1	5	4	weiblich	19	BWL	Deutsch 	1	0	1	5	9	3	5	6	6	6	5	4	5	1	4	2	1	7	2	6	4	7
6	EL-09	otgfzt	nein, ich kannte die Chatfunktion noch nicht	ja, ich habe bereits an Experimenten mit geheimen Wahlen teilgenommen	0	5	5	5	5	5	5	männlich	28	Germanistik	deutsch	1	0	1	7	6	6	6	4	5	3	4	3	3	3	3	5	3	4	4	4	4	4
7	EL-10	sehr schön!	nein, ich kannte die Chatfunktion noch nicht	nein, ich habe bisher noch nie an Experimenten mit geheimen Wahlen teilgenommen	0	10	10	4	1	8	3	männlich	22	nanowissenschaften 	deutsch	1	1	0	8	4	6	10	7	7	3	6	6	6	5	6	7	4	5	1	7	7	5
8	EL-11	Sehr gut, da es ein unkompliziertes Experiment war. Gerne mehr solcher Art.	ja, ich kannte die Chatfunktion schon vorher	ja, ich habe bereits an Experimenten mit geheimen Wahlen teilgenommen	0	10	6	10	7	10	2	weiblich	23	Sozialökonomie	DEUTSCH	0	0	0	8	6	3	10	4	4	1	4	7	6	4	4	7	7	4	4	7	5	1
9	EL-12	War vollkommen okay und enigermaßen kurzweilig, teilweise waren die Chatrunden etwas lang	nein, ich kannte die Chatfunktion noch nicht	ja, ich habe bereits an Experimenten mit geheimen Wahlen teilgenommen	1	8	8	6	4	4	4	weiblich	23	Geschichte	deutsch	0	0	0	6	7	7	8	5	6	6	6	5	3	6	4	5	5	3	3	4	5	4
10	EL-13	die wartezeiten waren viel zu lang. sonst ok.	ja, ich kannte die Chatfunktion schon vorher	ja, ich habe bereits an Experimenten mit geheimen Wahlen teilgenommen	0	9	9	6	1	9	6	weiblich	24	jura	deutsch	0	0	0	0	6	1	3	7	3	4	6	7	5	1	4	5	5	7	7	7	7	1
