Subject	client	q_experiment	q_knew_chat	q_knew_voting	q_numKnown_subj	q_duty_inform	q_duty_vote	q_exp_gov	q_exp_people	q_people_gov	q_politicalOpinion	q_male	q_age	q_field_of_study	q_nationality	q_siblings	q_siblings_older	q_siblings_younger	q_opinion_others	q_freedecision	q_trust	q_reciprocity	G1	E1	V1	O1	N1	V2	G2	E2	O2	N2	G3	E3	V3	O3	N3
1	EL-03	"\""Gut.hat Spaß gemacht\"""	nein, ich kannte die Chatfunktion noch nicht	nein, ich habe bisher noch nie an Experimenten mit geheimen Wahlen teilgenommen	0	10	8	5	10	7	1	weiblich	26	Bildung und Erziehung in der Kindheit	Deutsch	1	0	1	7	7	5	8	7	7	4	6	5	7	4	5	5	2	7	5	6	4	4
2	EL-05	Nicht alle Teilnehmer haben das Experiment verstanden (Jemand hat behauptet dass sie sollen in der nächste Runde die gleiche Strategie spielen)	nein, ich kannte die Chatfunktion noch nicht	ja, ich habe bereits an Experimenten mit geheimen Wahlen teilgenommen	0	10	1	1	1	6	4	männlich	29	VWL	Grieche	2	0	2	4	7	3	8	6	6	4	7	7	7	2	5	4	4	5	1	3	7	5
3	EL-06	Mir war Super ,	nein, ich kannte die Chatfunktion noch nicht	nein, ich habe bisher noch nie an Experimenten mit geheimen Wahlen teilgenommen	2	4	3	3	3	3	3	weiblich	25	wiinf	Mrokko	2	1	1	10	6	6	6	7	7	4	7	7	7	4	7	5	5	5	5	4	4	4
4	EL-07	Etwas langweilig	ja, ich kannte die Chatfunktion schon vorher	ja, ich habe bereits an Experimenten mit geheimen Wahlen teilgenommen	0	8	8	8	8	8	5	weiblich	27	BWL	deutsch	1	1	0	7	9	2	5	4	4	2	5	4	6	3	3	6	5	5	5	7	7	5
5	EL-08	Interessant, da man sich austauschen konnte und nicht nur stumpf geklickt und auf ein bestimmtes Ergebnis gehofft hat.	nein, ich kannte die Chatfunktion noch nicht	nein, ich habe bisher noch nie an Experimenten mit geheimen Wahlen teilgenommen	0	10	7	7	5	5	4	männlich	28	Volkswirtschaftslehre	Deutsch	3	0	3	6	7	5	7	3	6	4	5	5	5	6	6	6	4	4	5	6	6	5
6	EL-09	interessant, teilweise sind auch spannende situationen entstanden. nicht so gut fand ich, dass die rolle (weiss/blau) für alle 20 runden festgelegt wurde. ich denke, man könnte nach 10 runden wechseln!	nein, ich kannte die Chatfunktion noch nicht	ja, ich habe bereits an Experimenten mit geheimen Wahlen teilgenommen	0	9	8	9	8	3	3	männlich	28	Architektur	Italien	0	0	0	6	7	7	8	6	4	2	5	6	6	6	5	6	7	5	5	5	5	4
7	EL-10	ganz gut. Als blau war es teilweise etwas langweilig.	nein, ich kannte die Chatfunktion noch nicht	ja, ich habe bereits an Experimenten mit geheimen Wahlen teilgenommen	0	8	8	10	7	8	3	männlich	23	Technomathematik	deutsch	1	0	1	8	6	6	8	6	6	2	6	4	6	2	6	4	3	6	4	6	5	6
8	EL-11	Es war ganz interessant	nein, ich kannte die Chatfunktion noch nicht	nein, ich habe bisher noch nie an Experimenten mit geheimen Wahlen teilgenommen	0	10	10	10	4	10	3	männlich	28	Geographie	Deutsch	2	0	2	4	9	8	8	6	5	2	5	2	6	5	3	3	4	4	4	6	3	6
9	EL-12	ein bisschen weniger Zeit, 60 Sekunden reicht für Chat	nein, ich kannte die Chatfunktion noch nicht	nein, ich habe bisher noch nie an Experimenten mit geheimen Wahlen teilgenommen	0	6	6	5	5	6	4	weiblich	23	Sozial Ökonomie	Ukraine	0	0	0	7	6	4	8	5	5	2	6	6	4	4	5	4	5	6	3	5	6	5
10	EL-13	viel Zeit füt Entscheidung	nein, ich kannte die Chatfunktion noch nicht	nein, ich habe bisher noch nie an Experimenten mit geheimen Wahlen teilgenommen	3	4	4	5	3	5	4	weiblich	26	sozialökonomie	deutsch	2	2	0	6	5	7	6	6	6	4	5	4	4	2	3	4	3	5	2	7	4	3
