Subject	client	q_experiment	q_knew_chat	q_knew_voting	q_numKnown_subj	q_duty_inform	q_duty_vote	q_exp_gov	q_exp_people	q_people_gov	q_politicalOpinion	q_male	q_age	q_field_of_study	q_nationality	q_siblings	q_siblings_older	q_siblings_younger	q_opinion_others	q_freedecision	q_trust	q_reciprocity	G1	E1	V1	O1	N1	V2	G2	E2	O2	N2	G3	E3	V3	O3	N3
1	EL-04	Hat unnötig lang gedauert. Die 2 Minuten für Notizen empfand ich als lästig	nein, ich kannte die Chatfunktion noch nicht	ja, ich habe bereits an Experimenten mit geheimen Wahlen teilgenommen	1	9	8	6	5	2	5	weiblich	21	VWL	Deutsch	2	1	1	7	7	4	8	6	5	2	6	3	5	4	5	6	2	7	3	6	5	5
2	EL-05	In Ordnung, allerdings waren die 2 Minuten für Notizen meiner Ansicht zu lange gewählt, da man sie eh später bei der Auswahl der Möglichkeiten nicht nochmal gesehen hat	nein, ich kannte die Chatfunktion noch nicht	ja, ich habe bereits an Experimenten mit geheimen Wahlen teilgenommen	2	9	9	6	6	5	4	weiblich	22	VWL	Deutsch	1	0	1	8	7	3	8	6	6	1	5	7	6	2	5	6	6	6	5	7	6	3
3	EL-06	sehr langwierig, unnötige Pausen für Notizen bei immer der gleichen Ausgangssituation	nein, ich kannte die Chatfunktion noch nicht	ja, ich habe bereits an Experimenten mit geheimen Wahlen teilgenommen	0	10	9	4	3	1	3	weiblich	25	Internationale Kriminologie	Deutsch	0	0	0	6	7	7	9	5	6	3	6	6	7	2	7	7	5	5	2	7	6	5
4	EL-07	"Gut für mich, weil ich mit wenig Aufwand und Entscheidungen viel Geld verdienen kann.\r\nIch halte den räumlichen und zeitlichen Platz für Notizen nicht für notwendig, da man  keine komplett unterschiedlichen Ausgangslagen hat, bei denen man \""seine Gedanken sortieren\"" muss. Kann allerdings nachvollziehen, dass die Zeit, Entscheidungen zu überdenken gegeben wurde."	nein, ich kannte die Chatfunktion noch nicht	ja, ich habe bereits an Experimenten mit geheimen Wahlen teilgenommen	0	10	10	10	1	1	5	weiblich	21	Kunst	d	1	0	1	10	6	5	9	7	5	1	7	3	4	1	6	7	1	7	6	7	7	7
5	EL-08	nein	nein, ich kannte die Chatfunktion noch nicht	ja, ich habe bereits an Experimenten mit geheimen Wahlen teilgenommen	0	10	10	5	5	1	6	männlich	20	VWL	deutsch	1	0	1	3	10	1	6	7	1	2	1	1	5	4	1	1	1	6	6	4	1	6
6	EL-09	Experiment war angenehm, jedoch war die Wartezeit von 2 min. bevor man seine Antwort geben konnte viel zu lang.	nein, ich kannte die Chatfunktion noch nicht	nein, ich habe bisher noch nie an Experimenten mit geheimen Wahlen teilgenommen	1	9	4	7	3	2	3	weiblich	25	Mehrsprachigkeit und Bildung	Deutsch	1	1	0	7	9	5	2	4	5	5	5	7	7	5	6	5	5	6	3	7	7	2
7	EL-10	"Ich fand den Experiment ganz gut. Ich glaube, ich habe auch das Prinzip verstanden - immer auswählen das, wass allen Teilnehmer etwas bringt, dann werden alle gewinnen. mit der Wahrscheinlichkeit war es ein bisschen tricky und die \""Blauen\"" in Y B bekamen weniger, als die \""Weißen\"" (mehr davon, die konnten keine Entscheidungen treffen), aber im großen genzen finde ich das Experiment sehr gut und desto mehr interessant."	nein, ich kannte die Chatfunktion noch nicht	ja, ich habe bereits an Experimenten mit geheimen Wahlen teilgenommen	0	10	1	6	7	7	7	weiblich	21	BWL	Russische Föderation	0	0	0	8	8	5	10	5	5	3	7	6	7	5	5	7	6	6	5	7	7	3
8	EL-11	Sehr gut! habe nicht viel gemacht	ja, ich kannte die Chatfunktion schon vorher	ja, ich habe bereits an Experimenten mit geheimen Wahlen teilgenommen	1	10	7	8	5	7	5	weiblich	25	Sozialökonomie	andere	3	2	1	5	8	5	7	5	6	5	6	7	4	3	5	4	4	5	4	5	5	4
9	EL-12	Bitte am Notizfenster eine interaktive Möglichkeit implementieren, bei Nichtbedarf ok zu wählen, da 40 Minuten reine Notizfensterzeit doch sehr lang werden kann und nur wenige länger als eine Minute das Fenster benutzen. Sonst sehr interessant, danke. :)	nein, ich kannte die Chatfunktion noch nicht	nein, ich habe bisher noch nie an Experimenten mit geheimen Wahlen teilgenommen	0	8	8	9	7	5	3	männlich	35	Informatik	DE	1	1	0	7	5	6	10	7	7	4	6	5	7	5	6	7	5	6	5	7	6	6
10	EL-13	mega gut obwohl reines glücksspiel.	ja, ich kannte die Chatfunktion schon vorher	ja, ich habe bereits an Experimenten mit geheimen Wahlen teilgenommen	0	10	8	8	4	6	5	männlich	21	Geographie	deutsch	6	4	2	1	7	1	8	4	7	6	5	4	7	7	6	4	7	6	2	5	7	6
11	EL-14	man sollte noch etwer information geben, viel leicht nicht ganz direkt.\r\nich möchte nichts mitteilen\r\n	nein, ich kannte die Chatfunktion noch nicht	nein, ich habe bisher noch nie an Experimenten mit geheimen Wahlen teilgenommen	0	4	5	4	5	6	3	männlich	29	bwl	deutschland	6	4	2	6	5	6	4	2	3	4	3	3	5	5	3	3	4	3	3	4	5	4
12	EL-15	die 2 minuten zum notizen machen waren viel zu lange, ansonsten war es gut. auch die funktion der weißen gruppe hat mir gut gefallen, allerdings habe ich hinterher unabhängig von der computerprognose gewählt	nein, ich kannte die Chatfunktion noch nicht	ja, ich habe bereits an Experimenten mit geheimen Wahlen teilgenommen	2	10	5	7	7	7	6	weiblich	21	BWL	deutsch	4	0	4	6	7	3	7	5	4	2	5	4	5	3	3	3	5	5	4	7	6	5
