Period	chat	PlayerName	GroupPlay	TimeInfoPayoffStructureChatMessage	Dimension1_C	Dimension2_C	Dimension3_C	Dimension4_C	Dimension5_C	Dimension6_C	Dimension7_C	Dimension8_C	Dimension1_H	Dimension2_H	Dimension3_H	Dimension4_H	Dimension5_H	Dimension6_H	Dimension7_H	Dimension8_H	lie_c	lie_h	lie
1	moin	Weiﬂ  2	1	115	10	4	1	3	9	4	3		10	4	1	3	9	4	3		0	0	0
1	Mahlzeit	Blau  3	1	106	10	4	1	3	9	4	3		10	4	1	3	9	4	3		0	0	0
1	hi	Weiﬂ  3	1	103	10	4	1	3	9	4	3		10	4	1	3	9	4	3		0	0	0
1	^hi	Weiﬂ  1	1	100	10	4	1	3	9	4	3		10	4	1	3	9	4	3		0	0	0
1	meine info lautete, dass Situation Y vorl‰ge	Weiﬂ  2	1	94	1	4	1	3	9	4	3		1	4	1	3	9	4	3		0	0	0
1	jo	Weiﬂ  1	1	89	10	4	1	3	9	4	3		10	4	1	3	9	4	3		0	0	0
1	dann w‰re B insgesamt am besten	Weiﬂ  3	1	76	3	2	1	3	4	1	2		10	2	1	3	4	1	3		0	0	0
1	Sicher?	Blau  3	1	75	10	4	1	3	9	4	3		10	4	1	3	9	4	3		0	0	0
1	mit 30 output	Weiﬂ  3	1	71	10	4	1	3	9	4	3		8	4	1	3	9	4	3		0	0	0
1	ja B 	Weiﬂ  1	1	64	10	2	1	3	4	1	3		10	2	1	3	4	1	3		0	0	0
1	scheint zu stimmen, weil wir es alle drei haben	Weiﬂ  3	1	54	10	4	1	3	9	4	3		1	4	1	3	9	4	3		0	0	0
1	w‰r halt gut wenn blau mitzieht damit wir alle was von der runde haben	Weiﬂ  3	1	30	3	4	1	3	9	4	3		3	4	1	3	9	4	3		0	0	0
1	mag sein	Weiﬂ  2	1	27	10	4	1	3	9	4	3		10	4	1	3	9	4	3		0	0	0
1	machen wir 	Blau  2	1	22	10	4	1	3	9	4	3		10	4	1	3	9	4	3		0	0	0
1	jupp	Weiﬂ  2	1	22	10	4	1	3	9	4	3		10	4	1	3	9	4	3		0	0	0
1	sehr gut	Weiﬂ  2	1	13	10	4	1	3	9	4	3		10	4	1	1	9	4	3		0	0	0
1	Ich traue der Sache nicht	Blau  3	1	13	5	4	1	3	9	4	3		5	4	1	3	9	4	3		0	0	0
1	Mir wurde y angezeigt	Weiﬂ  1	2	102	1	4	1	3	9	4	3		1	4	1	3	9	4	3		0	0	0
1	Mir X.	Weiﬂ  3	2	95	1	4	1	3	9	4	3		1	4	1	3	9	4	3		0	0	0
1	Mir wurde gesagt, es sei Y	Weiﬂ  2	2	95	1	4	1	3	9	4	3		1	4	1	3	9	4	3		0	0	0
1	was ist bei euch?	Weiﬂ  1	2	91	10	4	1	3	9	4	3		10	4	2	3	9	4	3		0	0	0
1	also ist y wahrscheinlicher	Weiﬂ  1	2	74	10	4	1	3	9	4	3		10	4	1	3	9	4	3		0	0	0
1	zwei mal y einmal x... nehmen wir y?	Blau  2	2	72	10	4	1	3	9	4	3		10	4	1	3	9	4	3		0	0	0
1	wurde uns ein X f¸r ein U verkauft?	Weiﬂ  3	2	71	10	4	1	3	9	4	3		10	4	1	3	9	4	3		0	0	0
1	wir bekommen ja keine info	Blau  1	2	71	10	4	1	3	9	4	3		8	4	1	3	9	4	3		0	0	0
1	wir nehmen Y.	Weiﬂ  3	2	63	10	4	1	3	9	4	3		10	4	1	3	9	4	3		0	0	0
1	also b?	Blau  1	2	60	10	2	1	3	4	1	3		10	2	1	3	4	1	3		0	0	0
1	bei mir ist es x und y	Blau  3	2	58	10	4	1	3	9	4	3		10	4	1	3	9	4	3		0	0	0
1	‰h y?	Blau  1	2	53	10	4	1	3	9	4	3		10	4	1	3	9	4	3		0	0	0
1	Also B.	Weiﬂ  3	2	47	10	2	1	3	4	1	3		10	2	1	3	4	1	3		0	0	0
1	ja w¸rde auch b sagen	Blau  2	2	45	10	2	1	3	4	1	3		10	2	1	3	4	1	3		0	0	0
1	oder a	Weiﬂ  1	2	40	10	1	1	3	3	1	3		10	1	1	3	3	1	3		0	0	0
1	w¸rde c sagen	Blau  3	2	37	10	3	1	3	5	1	3		10	3	1	3	5	1	3		0	0	0
1	ne a ja eher nicht	Blau  1	2	27	10	4	1	3	9	4	3		10	4	1	3	9	4	3		0	0	0
1	ne b	Blau  2	2	15	10	2	1	3	4	1	3		10	2	1	3	4	1	3		0	0	0
1	b macht dann ja mehr sinn	Blau  1	2	11	10	2	1	3	4	1	3		10	2	1	3	4	1	3		0	0	0
1	w¸rde auch B sagen	Weiﬂ  2	2	6	10	2	1	3	4	1	3		10	2	1	3	4	1	3		0	0	0
1	b w‰re am fairsten weil alle was bekommen	Weiﬂ  1	2	6	10	2	1	3	4	1	3		3	2	1	3	4	1	1		0	0	0
1	da haben wir beide was von oder beide nichts...	Blau  2	2	4	3	4	1	3	9	4	2		3	4	1	3	9	4	3		0	0	0
1	weiﬂ, wie ist eure info?	Blau  3	3	99	10	4	3	3	9	4	3		10	4	3	3	9	4	3		0	0	0
1	hhey	Blau  1	3	98	10	4	1	3	9	4	3		10	4	1	3	9	4	3		0	0	0
1	weiﬂ	Weiﬂ  3	3	91	10	4	2	3	9	4	3		10	4	2	3	9	4	3		0	0	0
1	schieﬂt mal los	Blau  1	3	91	10	4	3	3	9	4	3		10	4	3	3	9	4	3		0	0	0
1	sitaution x	Weiﬂ  1	3	87	1	4	1	3	9	4	3		1	4	1	3	9	4	3		0	0	0
1	y	Weiﬂ  3	3	85	1	4	1	3	9	4	3		1	4	1	3	9	4	3		0	0	0
1	Bei mir Stand die Situation Y	Weiﬂ  2	3	84	1	4	1	3	9	4	3		1	4	1	3	9	4	3		0	0	0
1	pkals y	Blau  1	3	78	10	4	1	3	9	4	3		10	4	1	3	9	4	3		0	0	0
1	okay also y 	Blau  1	3	73	10	4	1	3	9	4	3		10	4	1	3	9	4	3		0	0	0
1	wahrscheinlicher	Blau  1	3	70	10	4	1	3	9	4	3		10	4	1	3	9	4	3		0	0	0
1	yeap	Weiﬂ  2	3	69	10	4	1	3	9	4	3		10	4	1	3	9	4	3		0	0	0
1	y klingt gut	Blau  2	3	68	10	4	1	3	9	4	3		10	4	1	1	9	4	3		0	0	0
1	ok, stimmen wir f¸r b?	Blau  3	3	66	10	2	1	3	4	1	3		10	2	1	3	4	1	3		0	0	0
1	Y w¸rde ich auch sagen	Weiﬂ  2	3	65	10	4	1	3	9	4	3		10	4	1	3	9	4	3		0	0	0
1	ja	Blau  1	3	63	10	4	1	3	9	4	3		10	4	1	3	9	4	3		0	0	0
1	ja	Weiﬂ  3	3	61	10	4	1	3	9	4	3		10	4	1	3	9	4	3		0	0	0
1	ok	Weiﬂ  1	3	59	10	4	1	3	9	4	3		10	4	1	3	9	4	3		0	0	0
1	B	Weiﬂ  2	3	59	10	2	1	3	4	1	3		10	2	1	3	4	1	3		0	0	0
1	b	Weiﬂ  1	3	58	10	2	1	3	4	1	3		10	2	1	3	4	1	3		0	0	0
1	b top	Blau  2	3	54	10	2	1	3	4	1	3		10	2	1	3	4	1	3		0	0	0
1	Perfecto :D	Weiﬂ  2	3	49	10	4	1	3	9	4	3		10	4	1	3	9	4	3		0	0	0
1	haltet euch dran	Weiﬂ  1	3	49	10	4	1	3	9	4	3		10	4	1	3	9	4	3		0	0	0
1	klar	Blau  3	3	41	10	4	1	3	9	4	3		10	4	1	3	9	4	3		0	0	0
1	keine faxen hier	Weiﬂ  1	3	34	10	4	1	2	9	4	3		10	4	1	2	9	4	3		0	0	0
1	wie nervig bist du denn?	Blau  3	3	22	10	4	1	2	9	4	3		10	4	5	2	9	4	3		0	0	0
1	"2 minuten sind einfach zu lange ;)"	Blau  2	3	8	8	4	1	3	9	4	3									1	0	0	0
1	Ich hab die Information, dass Y vorliegt	Weiﬂ  3	4	110	1	4	1	3	9	4	3		1	4	1	3	9	4	3		0	0	0
1	hhey	Weiﬂ  2	4	110	10	4	1	3	9	4	3		10	4	1	3	9	4	3		0	0	0
1	meine info: 70% Y	Weiﬂ  1	4	101	1	4	1	3	9	4	3		1	4	1	3	9	4	3		0	0	0
1	ich habe das X kommt	Weiﬂ  2	4	100	1	4	1	3	9	4	3		1	4	1	3	9	4	3		0	0	0
1	dann wohl Y, oder?	Weiﬂ  3	4	92	10	4	1	3	9	4	3		10	4	1	3	9	4	3		0	0	0
1	denke auch	Weiﬂ  1	4	88	10	4	1	3	9	4	3		10	4	1	3	9	4	3		0	0	0
1	dann wohl y	Blau  1	4	86	10	4	1	3	9	4	3		10	4	1	3	9	4	3		0	0	0
1	ich w¸rde f¸r B pl‰dieren	Weiﬂ  3	4	81	10	2	1	3	4	1	3		10	2	1	3	4	1	3		0	0	0
1	f¸r B	Blau  3	4	75	10	2	1	3	4	1	3		10	2	1	3	4	1	3		0	0	0
1	lass dann b nehmen	Weiﬂ  2	4	74	10	2	1	3	4	1	3		10	2	1	3	4	1	3		0	0	0
1	ok	Blau  2	4	71	10	4	1	3	9	4	3		10	4	1	3	9	4	3		0	0	0
1	hahahaha	Weiﬂ  2	4	70	10	4	1	3	9	4	3		10	4	1	3	9	4	3		0	0	0
1	finde ich auch gut	Weiﬂ  1	4	68	10	4	1	3	9	4	3		10	4	1	1	9	4	3		0	0	0
1	das ging schnell	Weiﬂ  2	4	66	10	4	1	3	9	4	3		10	4	1	3	9	4	3		0	0	0
1	top! :D	Weiﬂ  3	4	63	10	4	1	3	9	4	3		10	4	1	1	9	4	3		0	0	0
1	aber wenn X kommt	Weiﬂ  2	4	60	8	4	1	3	9	4	3		10	4	1	3	9	4	3		0	0	0
1	kriegen wir alle 0	Weiﬂ  2	4	56	8	4	1	3	9	4	3		8	4	1	3	9	4	3		0	0	0
1	gaaggaga	Weiﬂ  2	4	55	10	4	1	3	9	4	3									1	0	0	0
