Subject	client	q_experiment	q_knew_chat	q_knew_voting	q_numKnown_subj	q_duty_inform	q_duty_vote	q_exp_gov	q_exp_people	q_people_gov	q_politicalOpinion	q_male	q_age	q_field_of_study	q_nationality	q_siblings	q_siblings_older	q_siblings_younger	q_opinion_others	q_freedecision	q_trust	q_reciprocity	G1	E1	V1	O1	N1	V2	G2	E2	O2	N2	G3	E3	V3	O3	N3
1	EL-04	Lädt zu Gemeinheit ein.	ja, ich kannte die Chatfunktion schon vorher	ja, ich habe bereits an Experimenten mit geheimen Wahlen teilgenommen	0	2	1	1	1	7	1	männlich	42	Geschichte	deutsch	1	1	0	5	3	8	9	4	1	5	4	7	3	6	1	3	5	2	7	5	2	1
2	EL-05	interessant und lustig	nein, ich kannte die Chatfunktion noch nicht	nein, ich habe bisher noch nie an Experimenten mit geheimen Wahlen teilgenommen	0	10	9	4	4	5	4	weiblich	28	Suchthilfe	deutsch	1	1	0	8	9	8	8	6	6	1	5	4	6	4	6	6	2	5	4	7	6	6
3	EL-06	zu lange pausen zwischen den einzelnen runden, sehr langatmig	nein, ich kannte die Chatfunktion noch nicht	ja, ich habe bereits an Experimenten mit geheimen Wahlen teilgenommen	1	8	9	8	5	3	3	weiblich	20	BWL	deutsch	1	0	1	7	6	2	7	7	4	2	4	7	1	2	7	4	5	7	3	6	7	4
4	EL-07	erst war es eintönig , aber nach und nach wurde es wirklich spannend. durch den chat konnte man gut sachen über die mitspieler erfahren. 	ja, ich kannte die Chatfunktion schon vorher	ja, ich habe bereits an Experimenten mit geheimen Wahlen teilgenommen	0	10	3	7	8	3	5	männlich	22	SSE	Deutsch	2	0	2	2	7	7	8	3	7	6	5	3	7	7	7	7	5	3	3	5	5	5
5	EL-08	Sowas macht mich traurig	nein, ich kannte die Chatfunktion noch nicht	ja, ich habe bereits an Experimenten mit geheimen Wahlen teilgenommen	0	7	3	2	1	3	5	männlich	23	Chemie	Deutsch	0	0	0	8	8	7	7	1	5	3	2	6	4	7	4	1	2	4	5	6	2	5
6	EL-09	"Es war unterhaltsam. Die Gruppendynamik ging hin und her. Als Weißer habe ich überwiegend ehrlich geantwortet... Dass in der letzten Runde nach dreimal \""X\"" und 6 Stimmen auf A Situation Y kam, war herzzerreißend.\r\nDie Auslosung der Wertungsgruppen war für mich unvorteilhaft, da ich 14/20 Runden 20 Punkte hatte. Aber seis drum"	nein, ich kannte die Chatfunktion noch nicht	ja, ich habe bereits an Experimenten mit geheimen Wahlen teilgenommen	0	9	8	2	2	7	4	männlich	21	Rechtswissenschaft	Deutsch	2	1	1	6	7	6	8	5	5	2	6	3	6	7	6	6	1	5	7	6	6	5
7	EL-10	ein Experiment in dessen Verlauf sich die Machtpositionen deutlich verschoben haben zugunsten von Blau. Den Informationen von Weiß wurde nicht mehr getraut und man konnte sich nie sicher sein, ob die erhaltenen Informationen des Computers auch wirkoich stzimmen, was dazu geführt hat, dass auch bei einer einseitigen Abstimmung ein anderes Ergebnis kam. Am Ende stimmte jeder nur noch für sich	nein, ich kannte die Chatfunktion noch nicht	ja, ich habe bereits an Experimenten mit geheimen Wahlen teilgenommen	0	8	2	5	3	1	6	männlich	26	Sozialökonomie	deutsch	1	1	0	4	7	7	8	5	4	5	6	4	5	3	7	2	6	4	4	6	3	3
8	EL-11	gut, dass es kommunkativ war, allerdings du auswahl der zufälligen runden am ende nicht besonders fair, da 2 runden 0 punkte gezogen wurden, obwohl ich nur insgesamt 6 mal 0 hatte und über 10 mal 20 pkt und das ist ziemlich frustrierend, wenn man am ende nur 3,33 gewinnt, obwohl man davor die meiste zeit ziemlich gut war, daher werde ich an einem längeren experiment nicht mehr teilnehmen	ja, ich kannte die Chatfunktion schon vorher	ja, ich habe bereits an Experimenten mit geheimen Wahlen teilgenommen	0	9	10	9	2	8	3	weiblich	26	Geographie	deutsch	2	2	0	6	8	5	8	6	6	4	4	5	6	4	6	5	3	5	3	6	5	5
9	EL-12	abwechslungsreich durch den chat.	nein, ich kannte die Chatfunktion noch nicht	ja, ich habe bereits an Experimenten mit geheimen Wahlen teilgenommen	1	8	5	5	5	5	5	weiblich	27	bwl	deutsch	2	0	2	8	6	4	8	5	3	5	4	7	7	6	3	5	6	5	5	4	6	2
10	EL-13	Großartig. Etwas blau-benachteiligend, aber die möglichkeit der Kommunikation ist so viel Wert. Das war toll.	nein, ich kannte die Chatfunktion noch nicht	ja, ich habe bereits an Experimenten mit geheimen Wahlen teilgenommen	1	10	1	1	1	10	2	männlich	25	Chemie	Deutschland (Ausweis, nicht Perso o.ä.)	3	1	2	3	4	9	10	7	6	3	6	3	5	1	6	5	1	7	1	5	7	7
