Period	chat	PlayerName	GroupPlay	TimeInfoPayoffStructureChatMessage	Dimension1_C	Dimension2_C	Dimension3_C	Dimension4_C	Dimension5_C	Dimension6_C	Dimension7_C	Dimension8_C	Dimension1_H	Dimension2_H	Dimension3_H	Dimension4_H	Dimension5_H	Dimension6_H	Dimension7_H	Dimension8_H	lie_c	lie_h	lie
1	hallo	Blau  1	1	108				3				1	10	4	1	3	9	4	3		0	0	0
1	moin	Blau  2	1	107				3				1	10	4	1	3	9	4	3		0	0	0
1	Habe die Info, dass Y vorliegt	Weiﬂ  1	1	103	1	4	1	3	9	4	3		1	4	1	3	9	4	3		0	0	0
1	Situation y auch bei mir	Weiﬂ  2	1	96	1	4	1	3	9	4	3		1	4	1	3	9	4	3		0	0	0
1	Mit siebzig prozentiger Wahrscheinlichkeit wird X eintreffen. Lass Alternative A w‰hlen	Weiﬂ  3	1	91	1	4	1	3	3	1	3		1	1	1	3	3	1	3		0	0	0
1	B	Weiﬂ  2	1	84	10	2	1	3	4	1	3		10	2	1	3	4	1	3		0	0	0
1	B	Blau  3	1	80	10	2	1	3	4	1	3		10	2	1	3	4	1	3		0	0	0
1	B	Blau  1	1	77	10	2	1	3	4	1	3		10	2	1	3	4	1	3		0	0	0
1	B	Weiﬂ  1	1	76	10	2	1	3	4	1	3		10	2	1	3	4	1	3		0	0	0
1	b, ja, wobei zwei weiﬂen ja die info f¸r y haben	Blau  2	1	45	10	2	1	3	4	2	3		7	2	1	3	4	4	3		0	0	0
1	ok	Weiﬂ  3	1	39	10	4	1	3	9	4	3		10	4	1	3	9	4	3		0	0	0
1	Sind halt nur 70%	Weiﬂ  2	1	28	7	4	1	3	9	4	3		8	4	1	3	9	4	3		0	0	0
1	aber b geht bei y auch am ehesten klar	Blau  2	1	27	7	2	1	3	4	2	3		10	2	1	3	4	1	3		0	0	0
1	ok	Blau  2	1	21	10	4	1	3	9	4	3		10	4	1	3	9	4	3		0	0	0
1	b	Blau  2	1	20	10	2	1	3	4	1	3		10	2	1	3	4	1	3		0	0	0
1	gerechter wirds nicht	Blau  3	1	18	3	4	1	3	9	4	3		3	4	1	3	9	4	1		0	0	0
1	Denke ich auch	Weiﬂ  1	1	10	10	4	1	3	9	4	3		10	4	1	1	9	4	3		0	0	0
1	es sei denn null f¸r beide	Blau  3	1	9	10	4	1	3	9	4	1		10	4	1	3	9	4	2		0	0	0
1	Beide bekommen was oder eben nciht	Weiﬂ  2	1	6	10	4	1	3	9	4	1		10	4	1	3	9	4	2		0	0	0
1	";-)"	Blau  3	1	5				3				1	10	4	1	3	9	4	3		0	0	0
1	:D	Weiﬂ  3	1	1				3				1	10	4	1	3	9	4	3		0	0	0
1	weiﬂ 70 prozent f¸r x	Weiﬂ  2	2	105	1	4	1	3	9	4	3		1	4	1	3	9	4	3		0	0	0
1	bei mir kam auch die information f¸r situation x an	Weiﬂ  1	2	89	1	4	1	3	9	4	3		1	4	1	3	9	4	3		0	0	0
1	Und bei Weiﬂ 3?	Blau  3	2	63	10	4	5	3	9	4	3		10	4	5	3	9	4	3		0	0	0
1	was sagt weiﬂ 3?	Weiﬂ  1	2	56	10	4	4	3	9	4	3		10	4	4	3	9	4	3		0	0	0
1	auch x	Weiﬂ  3	2	53	1	4	1	3	9	4	3		1	4	1	3	9	4	3		0	0	0
1	also alternative A f¸r alle am besten!	Weiﬂ  1	2	41	3	1	1	3	3	1	3		3	1	1	3	3	1	2		0	0	0
1	ja	Weiﬂ  3	2	35	10	4	1	3	9	4	3		10	4	1	3	9	4	3		0	0	0
1	Ja	Blau  3	2	32	10	4	1	3	9	4	3		10	4	1	3	9	4	3		0	0	0
1	ja	Weiﬂ  2	2	28	10	4	1	3	9	4	3		10	4	1	3	9	4	3		0	0	0
1	B?	Weiﬂ  3	3	117	10	2	1	3	4	1	3		10	2	1	3	4	1	3		0	0	0
1	a	Weiﬂ  1	3	109	10	1	1	3	3	1	3		10	1	1	3	3	1	3		0	0	0
1	A	Weiﬂ  2	3	109	10	1	1	3	3	1	3		10	1	1	3	3	1	3		0	0	0
1	soll ey x oder y sein?	Blau  2	3	105	10	4	1	3	9	4	3		10	4	3	3	9	4	3		0	0	0
1	*es	Blau  2	3	102	10	4	1	3	9	4	3		10	4	1	3	9	4	3		0	0	0
1	mein tipp y	Weiﬂ  3	3	98	1	4	1	3	9	4	3		1	4	1	3	9	4	3		0	0	0
1	"X; also A IST besser"	Weiﬂ  1	3	81	1	1	1	3	3	1	3		1	1	1	3	3	1	3		0	0	0
1	die beiden andern haben aber anscheinend X	Weiﬂ  2	3	73	10	4	1	3	9	4	3		10	4	2	3	9	4	3		0	0	0
1	Dann A	Blau  1	3	73	10	1	1	3	3	1	3		10	1	1	3	3	1	3		0	0	0
1	haha	Weiﬂ  2	3	72	10	4	1	3	9	4	3		10	4	1	3	9	4	3		0	0	0
1	a	Blau  3	3	65	10	1	1	3	3	1	3		10	1	1	3	3	1	3		0	0	0
1	easy	Weiﬂ  3	3	62	10	4	1	3	9	4	3		10	4	1	3	9	4	3		0	0	0
1	weiﬂ 2, was war dein tipp?	Blau  2	3	18	10	4	4	3	9	4	3		10	4	5	3	9	4	3		0	0	0
1	A	Weiﬂ  2	3	2	10	1	1	3	3	1	3		10	1	1	3	3	1	3		0	0	0
1	x	Weiﬂ  2	4	105	1	4	1	3	9	4	3		1	4	1	3	9	4	3		0	0	0
