Subject	client	q_experiment	q_knew_chat	q_knew_voting	q_numKnown_subj	q_duty_inform	q_duty_vote	q_exp_gov	q_exp_people	q_people_gov	q_politicalOpinion	q_male	q_age	q_field_of_study	q_nationality	q_siblings	q_siblings_older	q_siblings_younger	q_opinion_others	q_freedecision	q_trust	q_reciprocity	G1	E1	V1	O1	N1	V2	G2	E2	O2	N2	G3	E3	V3	O3	N3
1	EL-04	Die Wartezeit, in der man sich Notizen machen konnte, war zu lang. Sonst spannedes Experiment. 	nein, ich kannte die Chatfunktion noch nicht	ja, ich habe bereits an Experimenten mit geheimen Wahlen teilgenommen	0	3	3	7	3	8	3	weiblich	21	Mensch- Computer- Interaktion	deutsch	3	2	1	7	8	7	8	6	7	3	5	2	3	2	7	7	3	6	2	6	6	6
2	EL-05	die zwei Minuten Zeit für Notizen waren völlig überflüssig. man hätte das Experiment viel kürzer machen können!!!	nein, ich kannte die Chatfunktion noch nicht	ja, ich habe bereits an Experimenten mit geheimen Wahlen teilgenommen	0	10	8	3	8	6	3	weiblich	27	Psychologie	deutsch	1	1	0	5	6	7	8	6	6	2	5	6	7	2	5	6	7	5	4	6	6	3
3	EL-06	Es war ok, die zwei Minuten für die Notizen war etwas lang. Die Zeit hätte entweder kürzer gehalten werden können oder bei Bedarf weitergeklickt werden können, damit die Zeit hätte verkürzt werden können, wenn keiner eine Notiz geschrieben hat.	ja, ich kannte die Chatfunktion schon vorher	ja, ich habe bereits an Experimenten mit geheimen Wahlen teilgenommen	0	9	7	4	7	3	5	weiblich	28	Systematische Musikwissenschaft	Deutsch	2	1	1	6	8	6	8	7	6	3	5	3	6	3	6	6	5	3	6	7	6	5
4	EL-07	Ich fand es gut und spannend, und ich hab viel unterschiedliche Emotionen gehabt. Am Anfang hatte ich immer nur 0 Punkte und war verärgert. Nachher war ich glücklich. 	nein, ich kannte die Chatfunktion noch nicht	ja, ich habe bereits an Experimenten mit geheimen Wahlen teilgenommen	0	8	5	3	6	5	4	weiblich	27	Tourimus Management	Deutsch	2	1	1	7	7	8	7	2	6	2	7	5	3	6	7	6	3	5	3	5	7	4
5	EL-08	Das Experiment war sehr langatmig. Den Zweck der Notizen-Eingabe habe ich nicht wirklich verstanden und da dieser Teil nicht beschleunigt werden konnte, wurde es dann doch sehr zäh. Ansonsten war das Experiment okay.	nein, ich kannte die Chatfunktion noch nicht	ja, ich habe bereits an Experimenten mit geheimen Wahlen teilgenommen	0	6	6	7	4	7	5	männlich	28	Wirtschaftsinformatik	Deutsch	1	1	0	7	8	7	8	6	5	3	6	5	5	3	4	7	5	6	4	5	6	5
6	EL-09	sehr ermüdend 	nein, ich kannte die Chatfunktion noch nicht	ja, ich habe bereits an Experimenten mit geheimen Wahlen teilgenommen	1	8	8	3	3	1	4	weiblich	22	Jura	deutsche und schweizer	5	0	0	9	8	7	8	2	5	4	5	7	3	5	4	1	6	4	5	4	3	2
7	EL-10	spannend, aber zum vorteil für blaue gruppe, gut, weil ich blau war	nein, ich kannte die Chatfunktion noch nicht	ja, ich habe bereits an Experimenten mit geheimen Wahlen teilgenommen	0	10	10	3	2	1	3	männlich	28	Politikwissenschaft	deutsch	1	0	1	7	10	8	10	6	6	2	7	6	5	2	6	6	4	4	2	7	7	5
8	EL-11	Also wenn das alles durch einen fairen Zufallsgenerator gezogen wurde hätte ich heute eher im Lotto gewonnen.	nein, ich kannte die Chatfunktion noch nicht	ja, ich habe bereits an Experimenten mit geheimen Wahlen teilgenommen	0	10	10	4	8	5	6	männlich	18	VWL	deutsch	0	0	0	2	7	2	7	6	6	6	4	3	6	4	7	1	2	6	2	6	2	6
9	EL-12	es war ganz gut, jedoch könnte man vlt die Minutenzahl etwas weniger machen.	nein, ich kannte die Chatfunktion noch nicht	nein, ich habe bisher noch nie an Experimenten mit geheimen Wahlen teilgenommen	0	10	10	9	1	10	10	männlich	25	sozialökonomie	Türkisch	2	0	2	1	10	4	8	4	6	4	3	6	6	4	6	1	6	4	2	7	4	2
10	EL-13	Das heutige Experiment war im Vergleich zu anderen Experimente eher ungerecht gestaltet, sprich eine Gruppe (zwar die blaue) hatte einen offensichtlichen Vorteil was die Auszahlung angeht.	nein, ich kannte die Chatfunktion noch nicht	ja, ich habe bereits an Experimenten mit geheimen Wahlen teilgenommen	0	10	10	7	10	6	8	weiblich	20	Betriebswirtschaftslehre	Dänisch	0	0	0	6	10	7	8	7	5	2	6	1	3	1	6	6	1	7	5	6	4	6
