Subject	client	q_experiment	q_knew_chat	q_knew_voting	q_numKnown_subj	q_duty_inform	q_duty_vote	q_exp_gov	q_exp_people	q_people_gov	q_politicalOpinion	q_male	q_age	q_field_of_study	q_nationality	q_siblings	q_siblings_older	q_siblings_younger	q_opinion_others	q_freedecision	q_trust	q_reciprocity	G1	E1	V1	O1	N1	V2	G2	E2	O2	N2	G3	E3	V3	O3	N3
1	EL-04	"interessant wie sich die blauen im laufe der zeit nicht mehr an die ansagen der weißen \""gehalten\"" haben. ich war weiß"	nein, ich kannte die Chatfunktion noch nicht	nein, ich habe bisher noch nie an Experimenten mit geheimen Wahlen teilgenommen	0	9	9	8	6	6	1	weiblich	28	Erziehungswissenschaften	Deutsch	1	1	0	8	8	6	10	3	6	6	4	6	3	3	6	6	5	3	2	7	5	4
2	EL-05	Sehr interessant - besonders weil man mit der Zeit das vertrauen verlor, bestimmte Entscheidungen davon abhängig machte, wie viele Infos kamen (und wie schnell) da man Leute wiedererkannte und sich irgendwann in der blauen Gruppe einig war, dass C meistens das beste ist	nein, ich kannte die Chatfunktion noch nicht	nein, ich habe bisher noch nie an Experimenten mit geheimen Wahlen teilgenommen	0	8	5	5	5	7	4	weiblich	24	Lehramt	Deutsch	1	1	0	7	7	4	8	3	6	6	6	7	5	6	3	7	5	2	5	5	7	1
3	EL-06	Meine Gruppenmitgliedern sind ganz dumm.	ja, ich kannte die Chatfunktion schon vorher	nein, ich habe bisher noch nie an Experimenten mit geheimen Wahlen teilgenommen	0	10	5	5	5	5	5	männlich	24	Politikwissenschaft	Ukraine	0	0	0	0	5	5	5	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4
4	EL-07	gut konzipiert, aber ab 3/4 etwas lang. Sehr interessant durch die Chatfunktion.	nein, ich kannte die Chatfunktion noch nicht	ja, ich habe bereits an Experimenten mit geheimen Wahlen teilgenommen	1	10	10	5	6	4	4	männlich	28	VWL	deutsch	1	1	0	5	8	8	7	6	7	1	6	4	6	2	7	6	2	6	1	5	6	4
5	EL-08	gut	nein, ich kannte die Chatfunktion noch nicht	nein, ich habe bisher noch nie an Experimenten mit geheimen Wahlen teilgenommen	0	10	8	8	9	7	3	weiblich	20	Mensch Computer Interaktion	Deutsch	0	0	0	2	8	7	9	6	2	3	6	6	7	1	3	6	4	7	6	6	6	5
6	EL-09	Die Auszahlung ist miserabel, statt es dem PC zu überlassen, sollte es in einer Runde öffentlich für alle gezogen werden. Es ist Ungerecht in die Personen in zwei Gruppen zu unterteilen.	nein, ich kannte die Chatfunktion noch nicht	nein, ich habe bisher noch nie an Experimenten mit geheimen Wahlen teilgenommen	0	10	1	1	1	2	4	männlich	24	HWI	Deutsch	1	1	0	9	5	6	6	6	4	1	7	5	4	1	5	4	2	4	3	7	5	7
7	EL-10	Besser als sonst, recht aufschlussreich, wenn man die Veränderung der gegebenen Antwort im Verlauf des Ex. anguckt.	nein, ich kannte die Chatfunktion noch nicht	nein, ich habe bisher noch nie an Experimenten mit geheimen Wahlen teilgenommen	0	8	9	9	7	1	4	männlich	22	Politikwissenschaft	Deutsch	1	1	0	6	3	3	8	5	6	5	3	1	3	5	6	5	2	4	2	4	5	6
8	EL-11	gut, weil ich weiß war, aber unfair für die Blauen	nein, ich kannte die Chatfunktion noch nicht	ja, ich habe bereits an Experimenten mit geheimen Wahlen teilgenommen	0	10	3	4	6	7	7	weiblich	22	Mathematik	deutsch	2	1	1	7	5	2	9	5	4	2	3	7	6	5	5	2	7	5	3	7	6	2
9	EL-12	spannend und interessant, die anderen haben sehr schnell ihr Vertrauen verspielt, daher habe ich letztendlich immer zum eigenen Nutzen abgestimmt und war immer skeptisch gegenüber den Aussagen von Team Weiß	nein, ich kannte die Chatfunktion noch nicht	ja, ich habe bereits an Experimenten mit geheimen Wahlen teilgenommen	0	9	10	8	3	4	6	männlich	24	Slavistik	Deutsch	2	1	1	7	3	1	5	2	1	3	1	7	2	6	1	6	7	3	7	6	5	1
10	EL-13	gut. \r\nEs war jedoch klar das die auszahlung eher Runden auswählt in denen man wenige Punkte bekommen hat.	nein, ich kannte die Chatfunktion noch nicht	nein, ich habe bisher noch nie an Experimenten mit geheimen Wahlen teilgenommen	0	10	8	7	7	4	2	weiblich	20	Sozialökonomie	deutsch	2	2	0	7	7	2	7	4	7	7	5	7	4	5	7	7	5	6	1	4	4	2
11	EL-14	hat eigentlich echt Spaß gebracht	ja, ich kannte die Chatfunktion schon vorher	ja, ich habe bereits an Experimenten mit geheimen Wahlen teilgenommen	0	10	5	3	5	7	1	weiblich	20	Soziologie	deutsch	1	1	0	9	8	3	8	6	6	2	5	6	6	5	6	6	6	6	2	6	6	3
12	EL-15	vertrauen, egoistisch	nein, ich kannte die Chatfunktion noch nicht	nein, ich habe bisher noch nie an Experimenten mit geheimen Wahlen teilgenommen	0	9	9	8	8	8	8	weiblich	26	linguistik	china	0	0	0	7	8	8	8	5	5	6	5	6	6	6	5	7	3	5	5	6	5	4
13	EL-16	Entahltungen waren sinnlos, da die weiße Gruppe geschlossen agiert hat. Sie konnte sich absprechen.	nein, ich kannte die Chatfunktion noch nicht	ja, ich habe bereits an Experimenten mit geheimen Wahlen teilgenommen	0	10	10	9	5	5	3	männlich	23	B.Sc. Physik	Deutsch	2	2	0	6	6	6	4	3	4	2	4	6	7	6	7	3	6	5	6	6	4	3
14	EL-20	Von wegen Losentscheid der drei Runden... 	nein, ich kannte die Chatfunktion noch nicht	nein, ich habe bisher noch nie an Experimenten mit geheimen Wahlen teilgenommen	0	3	2	2	3	3	1	männlich	28	Islamistik	Moldawien	4	2	2	0	10	1	1	1	1	7	1	5	1	5	2	1	4	2	2	1	5	5
15	EL-21	---	ja, ich kannte die Chatfunktion schon vorher	nein, ich habe bisher noch nie an Experimenten mit geheimen Wahlen teilgenommen	0	10	7	6	6	6	4	weiblich	25	Kommunikationsdesign	deutsch	1	1		9	9	9	10	5	5	3	5	5	5	2	5	7	3	5	3	7	5	2
16	EL-22	Ich fand es ziemlich interessant. Das Experiment eignete sich, um zu sehen, wie einige Personen nur auf den eigenen Vorteil bedacht sind... Es hätten ein paar weniger Rundenzahlen sein dürfen.	nein, ich kannte die Chatfunktion noch nicht	ja, ich habe bereits an Experimenten mit geheimen Wahlen teilgenommen	0	8	7	8	5	3	3	weiblich	30	Geschichte	deutsch	3	2	1	4	5	4	8	5	4	2	5	5	4	3	4	5	4	6	5	6	7	4
17	EL-23	war interesant!\r\nDas hat viel spass gemacht mit andere Teilnehmer zusammen zu arbeiten und gemeinsam eine Entscheidung zu treffen.\r\n	nein, ich kannte die Chatfunktion noch nicht	nein, ich habe bisher noch nie an Experimenten mit geheimen Wahlen teilgenommen	0	6	4	6	6	8	7	weiblich	29	Sozialökonomie	Russisch	2	2	0	0	8	6	6	7	5	6	7	5	3	5	6	6	4	7	5	6	1	3
18	EL-24	ok	ja, ich kannte die Chatfunktion schon vorher	ja, ich habe bereits an Experimenten mit geheimen Wahlen teilgenommen	0	4	3	6	4	6	6	weiblich	21	jura	deutsch	6	3	2	2	4	3	6	3	4	3	4	2	6	6	7	2	2	4	3	5	6	3
19	EL-25	Unfair	nein, ich kannte die Chatfunktion noch nicht	ja, ich habe bereits an Experimenten mit geheimen Wahlen teilgenommen	1	10	10	10	10	10	5	weiblich	22	Rechtswissenschaften	Kasachstan	1	0	1	10	10	5	10	7	7	1	7	1	4	1	1	4	1	4	1	7	7	7
20	EL-26	Als Teilnehmer der Blauen Gruppe recht ermündend da es immer wieder zu Wartezeiten kam	nein, ich kannte die Chatfunktion noch nicht	ja, ich habe bereits an Experimenten mit geheimen Wahlen teilgenommen	0	10	7	7	5	6	3	weiblich	26	Mensch-Computer-Interaktion	deutsch	3	3	0	7	8	6	10	5	6	5	6	6	3	4	5	6	5	5	5	5	6	6
21	EL-27	Es war recht interessant und es hatte sich über die Runden hinweg auch verändert. Nur für blaue Mitglieder war es bestimmt eher langweilig.	ja, ich kannte die Chatfunktion schon vorher	ja, ich habe bereits an Experimenten mit geheimen Wahlen teilgenommen	0	9	8	6	5	7	3	männlich	26	Wirtschaftsinformatik	Deutsch	0	0	0	7	7	7	9	4	4	1	5	6	6	5	2	2	5	5	5	6	5	4
22	EL-28	hat großen spaß gemacht, leider war nicht immer allen beteiligten klar, dass die gruppenkonstellation nach jeder runde geändert wurde	nein, ich kannte die Chatfunktion noch nicht	ja, ich habe bereits an Experimenten mit geheimen Wahlen teilgenommen	0	3	1	1	1	6	3	männlich	29	BWL	Deutsch	7	3	4	3	8	2	10	3	2	2	2	3	5	5	4	1	5	4	6	6	4	6
23	EL-29	Das war interessant. Schön, mal kommunizieren zu dürfen.	nein, ich kannte die Chatfunktion noch nicht	ja, ich habe bereits an Experimenten mit geheimen Wahlen teilgenommen	0	10	9	6	4	2	3	männlich	25	Rechtswissenschaftrn	deutsch	1	1	0	7	7	6	8	5	6	5	6	6	7	6	7	7	2	5	5	6	6	5
24	EL-30	Seh interessant	nein, ich kannte die Chatfunktion noch nicht	nein, ich habe bisher noch nie an Experimenten mit geheimen Wahlen teilgenommen	0	10	10	6	2	6	3	weiblich	21	Sozialökonomie	Deutsch	2	0	2	8	7	7	10	5	4	2	6	6	7	5	3	7	6	5	6	7	7	3
