Subject	client	q_experiment	q_knew_chat	q_knew_voting	q_numKnown_subj	q_duty_inform	q_duty_vote	q_exp_gov	q_exp_people	q_people_gov	q_politicalOpinion	q_male	q_age	q_field_of_study	q_nationality	q_siblings	q_siblings_older	q_siblings_younger	q_opinion_others	q_freedecision	q_trust	q_reciprocity	G1	E1	V1	O1	N1	V2	G2	E2	O2	N2	G3	E3	V3	O3	N3
1	EL-05	"Zu Beginn habe ich richtigen Hass gegenüber den Mitteilnehmer verspürt. Ich dachte mir , was für krasse Idioten das sind. Zum einen die Weißen, die krasse hinterhältige Aktionen brachten und die Blauen die drauf eingestiegen sind. \r\nZum Ende hin habe ich aber ein sehr gutes Gefühl. Wir haben es den Weißen gezeigt. Ich bin mir sicher , dass der ein oder andere der diese hinterhältigen Aktionen gebracht hat, jetzt schön auf die Schnautze gefallen ist und hoffentlich daraus lernt. 30 Euro verdient ;)"	nein, ich kannte die Chatfunktion noch nicht	ja, ich habe bereits an Experimenten mit geheimen Wahlen teilgenommen	0	10	3	8	8	9	4	männlich	24	Psychologie Bc	Deutsch / Kasachisch	2	2	0	2	8	8	10	6	2	3	6	2	5	4	5	5	2	6	6	7	7	6
2	EL-06	gut	ja, ich kannte die Chatfunktion schon vorher	ja, ich habe bereits an Experimenten mit geheimen Wahlen teilgenommen	0	10	10	5	7	8	3	männlich	22	Sozialökonomie	deutsch	1	1	0	8	9	7	9	5	6	5	6	7	7	3	7	7	6	4	2	6	6	2
3	EL-07	reine zeitverwschendung\r\nals blaues mitglied konnt man so gut wie nichts bestimmten und die weißen mitgleider haben in jedenm fall punte bekommen. also sehr unfaires experiment	nein, ich kannte die Chatfunktion noch nicht	nein, ich habe bisher noch nie an Experimenten mit geheimen Wahlen teilgenommen	0	5	5	5	5	5	5	weiblich	19	bwl	deutsch	5	3	2	0	5	5	5	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4
4	EL-08	"sehr interessant was die stimmung angeht und das verhalten der anderen-\r\nich fände es super toll, wenn man danach in der gruppe sprechen könnte oder darüber diskutieren weil ich war etwas enttäuscht  dass es welche gab von den weißen die die wahrheit nicht sagen wollten, sondern zu ihrem vorteil gesagt haben es wäre drei mal x gewesen obwohl es nur 2 mal war zum beispiel. Das wäre auf dauer ersteinmal auffällig für die blauen und sie werden misstrauisch und wählen dann mehr für sich, was auch wiederum ein nachteil für uns ist. Und es ist einfach viel fairere die wahrheit zu sagen wenn dei weißen eh schon viel bessere chancen haben! von kommentaren wie\""macht doch was ihr wollt, wir nehmen B\"" bei situation y, war ich etwas enttäuscht. Dann haben sie gerade C gewählt. Hätte ich sehr gerne drüber geredet hinterher!!!!!"	nein, ich kannte die Chatfunktion noch nicht	ja, ich habe bereits an Experimenten mit geheimen Wahlen teilgenommen	0	8	10	6	4	9	5	weiblich	22	frei kunst	deutsch	1	0	1	6	6	9	10	6	7	1	6	6	6	3	6	7	6	4	2	6	6	2
5	EL-09	sehr interessant, aber für blau deutlich weniger attraktiv / spannend	nein, ich kannte die Chatfunktion noch nicht	ja, ich habe bereits an Experimenten mit geheimen Wahlen teilgenommen	0	8	7	8	10	2	3	männlich	23	Mathematik	Deutsch	2	0	2	3	8	7	8	6	5	3	4	2	5	2	5	1	1	6	2	6	2	6
6	EL-10	in der chatfunktion zwischen den weißen intern hätte es die möglichkeit geben sollen, die zeit abzukürzen, da man meist schon nach kürzester zeit die situation geklärt hatte	nein, ich kannte die Chatfunktion noch nicht	ja, ich habe bereits an Experimenten mit geheimen Wahlen teilgenommen	0	8	8	5	3	4	4	weiblich	22	BWL	Deutsch	0	0	0	8	7	7	6	6	5	3	5	3	6	6	4	3	3	3	5	5	4	5
7	EL-11	Lustig	nein, ich kannte die Chatfunktion noch nicht	nein, ich habe bisher noch nie an Experimenten mit geheimen Wahlen teilgenommen	0	10	3	8	8	4	5	weiblich	22	Slavistik	Deutsch	1	1	0	6	8	7	9	7	7	2	3	6	5	3	4	5	6	5	6	6	4	4
8	EL-12	Man vergisst sehr leicht, ob man x oder y hatte. Eventuell wären unterschiedlichere Buchstaben sinnvoll.	nein, ich kannte die Chatfunktion noch nicht	nein, ich habe bisher noch nie an Experimenten mit geheimen Wahlen teilgenommen	0	9	7	4	7	7	4	weiblich	20	Mensch-Computer-Interaktion	deutsch	1	0	1	8	2	6	9	7	2	4	6	7	4	3	1	7	6	6	7	6	7	1
9	EL-13	Gut,Instruktion und Aufgabe verständlich, Zeitumfang ok	nein, ich kannte die Chatfunktion noch nicht	nein, ich habe bisher noch nie an Experimenten mit geheimen Wahlen teilgenommen	0	8	9	7	4	8	5	weiblich	22	HRM	deutsch	1		1	8	8	7	8	6	6	4	5	6	5	1	7	4	3	6	2	5	6	3
10	EL-14	Interessant	nein, ich kannte die Chatfunktion noch nicht	ja, ich habe bereits an Experimenten mit geheimen Wahlen teilgenommen	0	9	7	9	3	9	8	weiblich	22	VWL	Italienisch	1	0	1	7	9	6	9	5	3	3	2	5	6	2	6	3	3	5	2	6	2	5
