Subject	client	q_experiment	q_knew_chat	q_knew_voting	q_numKnown_subj	q_duty_inform	q_duty_vote	q_exp_gov	q_exp_people	q_people_gov	q_politicalOpinion	q_male	q_age	q_field_of_study	q_nationality	q_siblings	q_siblings_older	q_siblings_younger	q_opinion_others	q_freedecision	q_trust	q_reciprocity	G1	E1	V1	O1	N1	V2	G2	E2	O2	N2	G3	E3	V3	O3	N3
1	EL-04	hatte einen manipulativen beigeschmack, da Blau nicht informiert wurde und die aussagen von Weiß oft für unwahr hielt. Daneben schien das Versprechen auf eine 70%ige Wahrscheinlichkeit der Wahrheit eher unwahr zu sein (es sei denn A hat tatsächlich überdurchschnittlich oft gelogen)	nein, ich kannte die Chatfunktion noch nicht	ja, ich habe bereits an Experimenten mit geheimen Wahlen teilgenommen	0	9	10	3	1	4	3	weiblich	23	soziologie	deutsch	1	1	0	4	7	3	4	5	6	5	4	5	3	1	7	4	3	6	3	5	4	4
2	EL-05	mir gefallen experimente wo es so doll von den anderen abhängt, was man verdient nicht.	nein, ich kannte die Chatfunktion noch nicht	ja, ich habe bereits an Experimenten mit geheimen Wahlen teilgenommen	0	10	10	5	2	8	6	weiblich	25	Erziehungs- und Bildungswissenschaft	deutsch	2	1	0	6	8	4	6	7	6	1	5	5	3	1	7	6	5	7	2	7	3	3
3	EL-06	Durch den Chatverlauf etwas angenehmer und weniger langatmig als einige andere Experimente.	nein, ich kannte die Chatfunktion noch nicht	ja, ich habe bereits an Experimenten mit geheimen Wahlen teilgenommen	2	6	7	3	5	3	6	männlich	23	Jura	Deutsch	0	0	0	6	9	5	9	6	5	5	6	4	5	4	5	3	2	6	4	7	5	7
4	EL-07	Sehr unterhaltsam	nein, ich kannte die Chatfunktion noch nicht	ja, ich habe bereits an Experimenten mit geheimen Wahlen teilgenommen	0	8	10	4	4	5	3	männlich	29	M.A. Lateinamerika-Studein	deutsch	5	2	3	5	6	7	7	4	7	3	5	5	6	5	7	3	5	5	3	3	7	4
5	EL-08	schlimm, zu viele runden das gleiche und die menschen wurden sehr..... emotional	ja, ich kannte die Chatfunktion schon vorher	ja, ich habe bereits an Experimenten mit geheimen Wahlen teilgenommen	1	10	10	2	1	2	4	weiblich	25	vwl	deutsch	0	0	0	9	3	8	10	4	6	1	6	7	7	4	6	1	3	5	2	7	4	1
6	EL-09	unangemessene auszahlung. man hätte mehr runden ausgezahlt bekommen sollen. die mitteilnehmer habe ich aber irgendwie ans herz gewonnen.	ja, ich kannte die Chatfunktion schon vorher	ja, ich habe bereits an Experimenten mit geheimen Wahlen teilgenommen	0	10	10	8	7	6	3	weiblich	21	Erziehungswissenschaften	Deutsch	1	0	1	6	4	5	7	7	4	4	6	6	5	2	3	6	6	7	5	6	6	4
7	EL-10	War gut und interaktiv.\r\nEs wär schön, wenn es in Zukunft mehr Experimente mit Chat-Funktion gebe	ja, ich kannte die Chatfunktion schon vorher	ja, ich habe bereits an Experimenten mit geheimen Wahlen teilgenommen	0	8	6	8	6	5	5	männlich	22	BA Wirtschaftsmathematik	Deutsch, Vietnamesisch	3	3	0	8	7	5	8	5	4	3	5	6	6	4	6	5	4	6	5	5	5	7
8	EL-11	Das Leben ist unfair	nein, ich kannte die Chatfunktion noch nicht	ja, ich habe bereits an Experimenten mit geheimen Wahlen teilgenommen	0	6	3	5	5	5	5	weiblich	25	wirtschaftswissenschaften	armenisch	1	0	1	5	5	4	10	7	3	5	7	2	4	2	3	7	1	6	5	6	7	7
9	EL-12	war ganz lustig, einen kleinen Einblick in die gedankengänge der anderen zu gewinnen	ja, ich kannte die Chatfunktion schon vorher	nein, ich habe bisher noch nie an Experimenten mit geheimen Wahlen teilgenommen	1	10	5	5	3	7	3	weiblich	27	germanistische Linguistik	deutsch	0	0	0	5	5	8	9	5	6	3	5	7	4	3	6	7	6	4	2	5	6	2
10	EL-13	-	ja, ich kannte die Chatfunktion schon vorher	ja, ich habe bereits an Experimenten mit geheimen Wahlen teilgenommen	0	5	5	5	4	6	4	männlich	39	BWL	Deutschq	1	0	1	4	5	6	6	4	3	5	4	4	4	3	5	4	3	3	4	3	4	5
