Subject	client	q_experiment	q_knew_chat	q_knew_voting	q_numKnown_subj	q_duty_inform	q_duty_vote	q_exp_gov	q_exp_people	q_people_gov	q_politicalOpinion	q_male	q_age	q_field_of_study	q_nationality	q_siblings	q_siblings_older	q_siblings_younger	q_opinion_others	q_freedecision	q_trust	q_reciprocity	G1	E1	V1	O1	N1	V2	G2	E2	O2	N2	G3	E3	V3	O3	N3
1	EL-05	sehr interesant! hat spaß gemacht	nein, ich kannte die Chatfunktion noch nicht	ja, ich habe bereits an Experimenten mit geheimen Wahlen teilgenommen	0	10	5	7	8	8	8	männlich	20	BWL	Bolivianische und Österreichische	1	0	1	8	8	6	9	6	6	3	6	5	5	2	6	6	5	6	2	6	5	5
2	EL-06	Nett - 2 Stunden immerhin unterhaltsam durch den Chat. Die 20 Runden sind wahrscheinlich für Auswertung notwendig, im Durchlauf aber etwas langwirig	nein, ich kannte die Chatfunktion noch nicht	ja, ich habe bereits an Experimenten mit geheimen Wahlen teilgenommen	1	9	9	7	6	6	4	weiblich	20	BWL	Deutsch	1	1	0	8	7	6	4	6	6	2	4	6	5	3	6	5	5	4	3	7	4	4
3	EL-09	Interessantes Experiment, schon interessant mit anzusehen, wie sich die blauen Leute verhalten haben und oft nicht die für sie bessere Alternative gewählt haben, ob mit oder ohne Informationen	nein, ich kannte die Chatfunktion noch nicht	nein, ich habe bisher noch nie an Experimenten mit geheimen Wahlen teilgenommen	0	9	10	2	2	5	5	weiblich	30	Slavistik	deutsch, polnisch	3	0	3	4	7	3	7	3	6	2	5	2	6	4	6	6	2	6	3	6	6	6
4	EL-10	ich fande es heute richtig interessant. über ein chat-fenster können wir uns über entscheidungen diskutieren.	nein, ich kannte die Chatfunktion noch nicht	ja, ich habe bereits an Experimenten mit geheimen Wahlen teilgenommen	0	10	7	10	10	8	5	weiblich	25	Sozialökonomie	Vietnam	1	0	1	9	9	8	8	7	5	6	4	7	7	4	4	1	4	6	4	6	7	5
5	EL-12	"Experimente mit Kommunikationsanteil finde ich immer spannend ;) "	ja, ich kannte die Chatfunktion schon vorher	ja, ich habe bereits an Experimenten mit geheimen Wahlen teilgenommen	0	8	6	3	3	5	6	männlich	27	BWL	D	1	0	1	6	8	5	3	7	4	5	3	3	5	4	5	2	3	5	3	5	3	4
6	EL-14	Ich fand das Experiment sehr interessant, weil man mit der Zeit gelernt hat, dass man vielleicht auch Lügen muss um den Eindruck zu erzeugen, dass Y unmöglich ist. Leider ist mir und anderen Mitgliedern das wohl erst zum Schluss kalr geworden..	ja, ich kannte die Chatfunktion schon vorher	ja, ich habe bereits an Experimenten mit geheimen Wahlen teilgenommen	1	9	10	9	10	2	5	weiblich	23	Politikwissenschaft	deutsche	2	2	0	1	3	1	8	7	1	1	6	7	7	2	1	7	6	6	7	7	7	5
7	EL-15	ich fand das Experiment gut. 	nein, ich kannte die Chatfunktion noch nicht	nein, ich habe bisher noch nie an Experimenten mit geheimen Wahlen teilgenommen	0	10	8	2	2	1	4	männlich	25	Portugiesisch	Deutsch	1	0	1	8	8	1	5	5	5	2	4	6	5	5	6	4	4	7	3	7	3	6
8	EL-16	ganz ok. nur für die person die blau war, etwas langweilig. wäre schön gewesen wenn die blauen unter sich hätten chatten können, ohne das die weißen es sehen.	nein, ich kannte die Chatfunktion noch nicht	ja, ich habe bereits an Experimenten mit geheimen Wahlen teilgenommen	0	10	8	5	4	6	5	weiblich	22	Game-design	deutsch	2	0	2	5	7	5	7	7	5	2	5	5	7	2	6	7	5	6	4	7	6	6
9	EL-20	interessant, jedoch war der chat zu lange gewählt	nein, ich kannte die Chatfunktion noch nicht	ja, ich habe bereits an Experimenten mit geheimen Wahlen teilgenommen	0	2	1	1	1	2	3	männlich	41	Soziologie	deutsch	1	0	1	8	5	8	8	5	5	2	6	4	6	5	5	6	3	4	5	6	6	4
10	EL-21	Nettes Experiment, bsonders durch die Chatfunktion kann man sich etwas in die anderen Spieler reindenken.	ja, ich kannte die Chatfunktion schon vorher	ja, ich habe bereits an Experimenten mit geheimen Wahlen teilgenommen	0	10	1	1	1	1	6	männlich	28	Geschichte	deutsch	2	2	0	8	7	7	9	6	6	7	4	5	7	3	7	2	2	7	3	6	6	6
