Subject	client	q_experiment	q_knew_chat	q_knew_voting	q_numKnown_subj	q_duty_inform	q_duty_vote	q_exp_gov	q_exp_people	q_people_gov	q_politicalOpinion	q_male	q_age	q_field_of_study	q_nationality	q_siblings	q_siblings_older	q_siblings_younger	q_opinion_others	q_freedecision	q_trust	q_reciprocity	G1	E1	V1	O1	N1	V2	G2	E2	O2	N2	G3	E3	V3	O3	N3
1	EL-04	etwas zähflüssig	nein, ich kannte die Chatfunktion noch nicht	ja, ich habe bereits an Experimenten mit geheimen Wahlen teilgenommen	0	6	9	3	1	6	6	männlich	35	HCHE	deutsch	1	1	0	4	3	3	8	4	5	6	6	6	2	5	3	5	4	6	6	5	7	4
2	EL-05	Interessant, da ich bisher noch nie ein Experiment mit Chat hatte - allerdings deutlich zu lang. Ab Runde 12 hatten gefühlt alle Teilnehmer den Mechanismus bereits durchschaut.	nein, ich kannte die Chatfunktion noch nicht	ja, ich habe bereits an Experimenten mit geheimen Wahlen teilgenommen	0	9	10	7	5	6	3	weiblich	25	Politikwissenschaften	deutsch	0			7	8	6	9	4	5	3	5	6	3	3	7	5	3	5	2	6	2	5
3	EL-06	Nein	nein, ich kannte die Chatfunktion noch nicht	ja, ich habe bereits an Experimenten mit geheimen Wahlen teilgenommen	0	7	10	5	5	7	4	weiblich	29	Erdsystemwissenschaften	deutsch	1	0	1	4	7	4	7	4	6	4	4	5	6	5	5	3	4	5	5	5	5	5
4	EL-07	/	nein, ich kannte die Chatfunktion noch nicht	ja, ich habe bereits an Experimenten mit geheimen Wahlen teilgenommen	0	9	8	5	2	4	3	weiblich	23	Geographie	serbisch 	2	0	2	8	9	8	8	6	6	1	6	6	6	2	7	7	6	6	2	7	7	5
5	EL-08	Etwas zu lang.	nein, ich kannte die Chatfunktion noch nicht	nein, ich habe bisher noch nie an Experimenten mit geheimen Wahlen teilgenommen	0	7	7	6	8	2	4	männlich	19	Rechtswissenschaft	Deutsch	2	0	2	7	6	5	7	4	6	7	6	6	2	3	7	7	5	4	1	5	6	3
6	EL-09	interessanter als vorige, da Chat möglich war und man daher verhandeln musste	nein, ich kannte die Chatfunktion noch nicht	ja, ich habe bereits an Experimenten mit geheimen Wahlen teilgenommen	0	10	10	8	6	3	6	weiblich	20	Sozialökonomie	Deutsch	6	1	5	9	7	6	6	7	7	1	6	2	7	2	7	7	2	7	5	7	7	7
7	EL-10	Langwierig	ja, ich kannte die Chatfunktion schon vorher	ja, ich habe bereits an Experimenten mit geheimen Wahlen teilgenommen	0	9	6	7	7	7	4	männlich	27	Wirtschaftsinformatik	deutsch	1	1	0	3	6	8	9	5	4	5	3	4	5	6	5	2	4	4	6	5	4	5
8	EL-11	-	nein, ich kannte die Chatfunktion noch nicht	ja, ich habe bereits an Experimenten mit geheimen Wahlen teilgenommen	0	10	10	2	1	6	3	männlich	25	M.Sc. Politics, Economics & Philsophy	deutsch	1	0	1	6	9	7	9	6	6	3	4	4	5	4	5	4	6	6	5	7	5	5
9	EL-12	Dieses Experiment hat einmal in einem kleinen Rahmen verdeutlicht, wie schwer es ist, einerseits keine falschen Angaben vorzugeben, aber auch wie schwer es ist, sich dem Gruppenwillen zu beugen, wenn er nicht mit der eigenen Meinung übereinstimmt.	nein, ich kannte die Chatfunktion noch nicht	nein, ich habe bisher noch nie an Experimenten mit geheimen Wahlen teilgenommen	1	10	10	8	5	7	3	weiblich	24	Ev Theol	deutsch	1	0	1	9	5	5	8	5	7	2	3	7	6	2	7	6	4	6	3	6	7	4
10	EL-13	20 Runden war ein bisschen viel.	nein, ich kannte die Chatfunktion noch nicht	ja, ich habe bereits an Experimenten mit geheimen Wahlen teilgenommen	0	10	9	6	3	6	4	weiblich	20	VWL	deutsch	3	3	0	9	7	7	8	6	4	2	6	6	4	4	4	5	4	6	5	6	5	5
