Subject	client	q_experiment	q_knew_chat	q_knew_voting	q_numKnown_subj	q_duty_inform	q_duty_vote	q_exp_gov	q_exp_people	q_people_gov	q_politicalOpinion	q_male	q_age	q_field_of_study	q_nationality	q_siblings	q_siblings_older	q_siblings_younger	q_opinion_others	q_freedecision	q_trust	q_reciprocity	G1	E1	V1	O1	N1	V2	G2	E2	O2	N2	G3	E3	V3	O3	N3
1	EL-04	gut. 1 Minute hätte zum chatten gereicht.	nein, ich kannte die Chatfunktion noch nicht	ja, ich habe bereits an Experimenten mit geheimen Wahlen teilgenommen	1	6	6	6	4	5	5	weiblich	25	Vwl	Deutsch	1	0	1	6	9	6	8	5	4	1	3	5	6	2	5	5	5	5	5	7	3	4
2	EL-05	Ganz unterhaltsam, aber für Blau muss es schlimm langweilig gewesen sein.	nein, ich kannte die Chatfunktion noch nicht	nein, ich habe bisher noch nie an Experimenten mit geheimen Wahlen teilgenommen	0	10	7	7	7	7	3	männlich	24	Informatik	Deutsch	1	0	1	6	10	6	7	4	6	3	5	6	7	4	5	7	5	4	5	7	7	4
3	EL-06	Sehr interessant	nein, ich kannte die Chatfunktion noch nicht	ja, ich habe bereits an Experimenten mit geheimen Wahlen teilgenommen	0	8	8	7	3	3	5	männlich	22	vwl	Deutsch	1	1	0	7	8	4	8	6	6	5	6	2	4	3	5	6	3	6	3	5	6	6
4	EL-07	aus Sichtes des blauen teilnehmers ist das Experiment ser schlecht	nein, ich kannte die Chatfunktion noch nicht	ja, ich habe bereits an Experimenten mit geheimen Wahlen teilgenommen	1	8	3	3	3	3	7	weiblich	21	VWL	deutsch	0	0	0	10	6	2	4	3	6	5	5	7	6	7	7	7	7	4	3	6	7	2
5	EL-08	Die Kommunikationszeit hätte verkürzt werden können. Eine Minute hätte genügt.	ja, ich kannte die Chatfunktion schon vorher	nein, ich habe bisher noch nie an Experimenten mit geheimen Wahlen teilgenommen	0	10	10	8	8	7	5	weiblich	25	HDL	deutsch	1	1	0	8	4	1	9	7	7	5	7	7	5	1	7	7	2	7	2	5	7	6
6	EL-09	auffschlussreich	nein, ich kannte die Chatfunktion noch nicht	nein, ich habe bisher noch nie an Experimenten mit geheimen Wahlen teilgenommen	0	9	8	9	5	4	3	weiblich	23	Rechtswissenschaften	Deutsch	1	1	0	8	6	6	9	7	7	1	6	6	7	3	6	7	7	7	3	7	7	2
7	EL-10	Zu Lang	nein, ich kannte die Chatfunktion noch nicht	nein, ich habe bisher noch nie an Experimenten mit geheimen Wahlen teilgenommen	0	9	7	8	6	2	3	männlich	21	HWI	Deutsch	2	1	1	9	7	4	10	4	6	2	5	6	6	7	6	5	6	3	5	7	7	6
8	EL-11	hattet ihr kein Mitleid mit blau? blau hat sich zu Tode gelangweilt und hatte deutlich einen nachteil in ihren Entscheidungen. Ansonsten ganz gut	nein, ich kannte die Chatfunktion noch nicht	ja, ich habe bereits an Experimenten mit geheimen Wahlen teilgenommen	0	10	10	7	4	3	1	männlich	18	BWL	deutsch	3	1	2	3	7	5	8	6	6	4	5	4	4	5	7	3	3	5	1	7	6	6
9	EL-12	mit den 2 minuten war es ein bisschen langweilig	nein, ich kannte die Chatfunktion noch nicht	ja, ich habe bereits an Experimenten mit geheimen Wahlen teilgenommen	0	10	8	5	4	4	4	weiblich	19	VWL	Ägypten	1	0	1	4	7	4	9	5	4	5	4	7	6	6	5	3	7	5	7	7	5	5
10	EL-13	langweilig	ja, ich kannte die Chatfunktion schon vorher	ja, ich habe bereits an Experimenten mit geheimen Wahlen teilgenommen	0	6	3	5	5	6	6	männlich	37	WInf	d	1	0	1	8	6	6	7	6	4	4	4	4	5	6	4	7	3	6	6	6	6	6
11	EL-14	Weiß hatte einen Vorteil -> unfair	nein, ich kannte die Chatfunktion noch nicht	ja, ich habe bereits an Experimenten mit geheimen Wahlen teilgenommen	0	9	9	7	5	2	3	weiblich	24	BA Erziehungswissenschaft / Lehramt an Gym. Englisch & Geo	Deutsch	1	1	0	8	7	5	10	7	5	2	4	5	5	5	5	2	5	5	4	7	4	4
12	EL-15	war ok. etwas langwirige einführun	ja, ich kannte die Chatfunktion schon vorher	ja, ich habe bereits an Experimenten mit geheimen Wahlen teilgenommen	0	7	4	5	7	3	7	männlich	26	Wirtschaftsmathematik	Deutsch	0	0	0	8	6	3	5	2	3	6	2	6	3	7	2	1	6	3	6	4	5	3
